ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr1:162560112-162560301:162562521-162562572|+|162558623|162567581	ENSG00000117143.13_5	UAP1	chr1	+	162560112	162560301	162562521	162562572	162558482	162558623	162567581	162567648	chr1:162560112-162560301:162562521-162562572|+|162558623|162567581	1505,950,1094	716,618,557	1496,798,1701	263,154,358	200	151	0	0.0	0.613,0.537,0.597	0.811,0.796,0.782	-0.214
chr1:162560112-162560301:162562524-162562572|+|162558623|162567581	ENSG00000117143.13_5	UAP1	chr1	+	162560112	162560301	162562524	162562572	162558482	162558623	162567581	162567648	chr1:162560112-162560301:162562524-162562572|+|162558623|162567581	1505,950,1094	696,613,545	1496,798,1701	256,152,349	200	148	0	0.0	0.615,0.534,0.598	0.812,0.795,0.783	-0.214
chr6:151626881-151627038:151669845-151674887|+|151561859|151676861	ENSG00000131016.17_3	AKAP12	chr6	+	151626881	151627038	151669845	151674887	151561508	151561859	151676861	151677908	chr6:151626881-151627038:151669845-151674887|+|151561859|151676861	34,11,51	818,941,1035	161,305,168	1868,2256,1771	200	200	0	0.0	0.04,0.012,0.047	0.079,0.119,0.087	-0.062
chr12:132633328-132633440:132635525-132635586|+|132632651|132635802	ENSG00000184967.7_3	NOC4L	chr12	+	132633328	132633440	132635525	132635586	132632616	132632651	132635802	132635913	chr12:132633328-132633440:132635525-132635586|+|132632651|132635802	25,26,17	362,336,341	35,36,30	226,176,248	200	161	1.67306954024e-06	9.16167471759e-05	0.053,0.059,0.039	0.111,0.141,0.089	-0.063
chr14:21702927-21702990:21730759-21730927|-|21702388|21731469	ENSG00000092199.17_7	HNRNPC	chr14	-	21702927	21702990	21730759	21730927	21702111	21702388	21731469	21731495	chr14:21702927-21702990:21730759-21730927|-|21702388|21731469	99,129,129	0,4,38	128,220,174	6,0,1	200	163	8.44675417577e-06	0.000360197129046	1.0,0.963,0.735	0.946,1.0,0.993	-0.08
chr14:21704531-21704619:21730759-21730927|-|21702388|21731469	ENSG00000092199.17_7	HNRNPC	chr14	-	21704531	21704619	21730759	21730927	21702111	21702388	21731469	21731495	chr14:21704531-21704619:21730759-21730927|-|21702388|21731469	99,129,129	136,104,179	128,220,174	78,69,75	200	188	1.86073147113e-07	1.36340677059e-05	0.406,0.538,0.404	0.607,0.75,0.686	-0.232
chr19:5684829-5684916:5686910-5687002|+|5681282|5687513	ENSG00000167733.13_4	HSD11B1L	chr19	+	5684829	5684916	5686910	5687002	5681047	5681282	5687513	5687679	chr19:5684829-5684916:5686910-5687002|+|5681282|5687513	9,74,13	0,10,7	16,44,26	0,2,1	187	192	0.000480387073798	0.00950134707338	1.0,0.884,0.656	1.0,0.958,0.964	-0.127
chr2:192265474-192265561:192267357-192267444|+|192265194|192272840	ENSG00000128641.19_5	MYO1B	chr2	+	192265474	192265561	192267357	192267444	192265107	192265194	192272840	192272915	chr2:192265474-192265561:192267357-192267444|+|192265194|192272840	102,23,59	255,42,229	297,231,276	424,357,402	187	187	9.57347390941e-05	0.00264204857562	0.286,0.354,0.205	0.412,0.393,0.407	-0.122
chr9:132678244-132678259:132687238-132687436|-|132671278|132689473	ENSG00000187239.17_4	FNBP1	chr9	-	132678244	132678259	132687238	132687436	132671168	132671278	132689473	132689620	chr9:132678244-132678259:132687238-132687436|-|132671278|132689473	239,280,232	14,29,25	399,465,346	7,10,8	200	115	2.50068632468e-10	3.34307743966e-08	0.908,0.847,0.842	0.97,0.964,0.961	-0.099
chr4:2933551-2933880:2934077-2934239|-|2933192|2934326	ENSG00000109736.15_4	MFSD10	chr4	-	2933551	2933880	2934077	2934239	2933101	2933192	2934326	2934425	chr4:2933551-2933880:2934077-2934239|-|2933192|2934326	498,734,536	36,70,75	559,906,781	22,34,29	200	200	1.18514087433e-10	1.69151924791e-08	0.933,0.913,0.877	0.962,0.964,0.964	-0.056
chr8:141684396-141684503:141685558-141685598|-|141678523|141696730	ENSG00000169398.19_6	PTK2	chr8	-	141684396	141684503	141685558	141685598	141678367	141678523	141696730	141696793	chr8:141684396-141684503:141685558-141685598|-|141678523|141696730	378,547,453	1459,2042,1908	511,509,492	1288,1452,1360	140	200	5.54373274357e-05	0.00169243574439	0.27,0.277,0.253	0.362,0.334,0.341	-0.079
chr8:141684396-141684503:141696730-141696793|-|141678523|141710989	ENSG00000169398.19_6	PTK2	chr8	-	141684396	141684503	141696730	141696793	141678367	141678523	141710989	141711121	chr8:141684396-141684503:141696730-141696793|-|141678523|141710989	753,1116,868	1466,2045,1941	1029,1055,920	1310,1453,1380	163	200	2.87563234176e-05	0.000996257971811	0.387,0.401,0.354	0.491,0.471,0.45	-0.09
chr8:141813641-141813749:141828375-141828453|-|141810675|141828978	ENSG00000169398.19_6	PTK2	chr8	-	141813641	141813749	141828375	141828453	141810557	141810675	141828978	141829119	chr8:141813641-141813749:141828375-141828453|-|141810675|141828978	840,979,1063	1120,1303,1571	1306,1420,964	1343,1387,990	178	200	0.000420274345846	0.00855162308902	0.457,0.458,0.432	0.522,0.535,0.522	-0.077
chr2:242684123-242684292:242695263-242695429|+|242683230|242707124	ENSG00000180902.18_5	D2HGDH	chr2	+	242684123	242684292	242695263	242695429	242683036	242683230	242707124	242708224	chr2:242684123-242684292:242695263-242695429|+|242683230|242707124	249,380,265	164,308,234	221,237,194	96,133,110	200	200	0.000400019962342	0.00822961224958	0.603,0.552,0.531	0.697,0.641,0.638	-0.097
chr2:233697566-233697803:233704558-233704681|+|233684695|233708755	ENSG00000204120.14_6	GIGYF2	chr2	+	233697566	233697803	233704558	233704681	233684536	233684695	233708755	233708965	chr2:233697566-233697803:233704558-233704681|+|233684695|233708755	324,259,332	262,269,324	422,508,359	271,287,274	200	200	0.00048420604592	0.00956230807666	0.553,0.491,0.506	0.609,0.639,0.567	-0.088
chr8:62556503-62556560:62557158-62557191|-|62555992|62563608	ENSG00000198363.18_4	ASPH	chr8	-	62556503	62556560	62557158	62557191	62555944	62555992	62563608	62563683	chr8:62556503-62556560:62557158-62557191|-|62555992|62563608	876,796,1408	3209,6437,4375	1511,2128,1181	3782,4747,2938	133	157	1.9887003474e-06	0.000106322791829	0.244,0.127,0.275	0.32,0.346,0.322	-0.114
chr19:5587878-5587991:5590288-5590419|-|5587778|5591758	ENSG00000130254.12_4	SAFB2	chr19	-	5587878	5587991	5590288	5590419	5587711	5587778	5591758	5591804	chr19:5587878-5587991:5590288-5590419|-|5587778|5591758	913,719,999	866,740,878	558,604,699	235,278,512	200	200	3.0084541397e-06	0.000151056312771	0.513,0.493,0.532	0.704,0.685,0.577	-0.143
chr19:5587878-5587991:5591758-5591804|-|5587778|5592757	ENSG00000130254.12_4	SAFB2	chr19	-	5587878	5587991	5591758	5591804	5587711	5587778	5592757	5592898	chr19:5587878-5587991:5591758-5591804|-|5587778|5592757	429,334,523	863,737,879	293,316,357	235,276,512	146	200	2.86474574829e-06	0.00014470081827	0.405,0.383,0.449	0.631,0.611,0.489	-0.165
chr19:5610649-5610699:5611130-5611641|-|5610106|5612550	ENSG00000130254.12_4	SAFB2	chr19	-	5610649	5610699	5611130	5611641	5610005	5610106	5612550	5612578	chr19:5610649-5610699:5611130-5611641|-|5610106|5612550	524,352,627	263,179,260	615,565,526	181,163,157	200	150	9.23815678089e-06	0.000389430354935	0.599,0.596,0.644	0.718,0.722,0.715	-0.105
chr6:35436575-35436650:35436723-35437062|+|35436216|35437157	ENSG00000198755.11_3	RPL10A	chr6	+	35436575	35436650	35436723	35437062	35436196	35436216	35437157	35437306	chr6:35436575-35436650:35436723-35437062|+|35436216|35437157	118,122,138	257,226,253	73,86,74	78,83,73	175	200	1.69585291554e-06	9.27460086434e-05	0.344,0.382,0.384	0.517,0.542,0.537	-0.162
chr17:73263826-73263982:73265427-73265550|-|73263711|73266194	ENSG00000125457.14_6	MIF4GD	chr17	-	73263826	73263982	73265427	73265550	73262592	73263711	73266194	73266326	chr17:73263826-73263982:73265427-73265550|-|73263711|73266194	29,88,35	300,598,386	54,79,69	241,534,311	200	200	0.000460936928906	0.00919800509132	0.088,0.128,0.083	0.183,0.129,0.182	-0.065
chr6:32130344-32130399:32134274-32134397|+|32125701|32134477	ENSG00000258388.7_3	PPT2-EGFL8	chr6	+	32130344	32130399	32134274	32134397	32125616	32125701	32134477	32134587	chr6:32130344-32130399:32134274-32134397|+|32125701|32134477	173,202,184	99,104,123	213,277,267	81,100,76	155	200	2.78648455497e-05	0.000971646862424	0.693,0.715,0.659	0.772,0.781,0.819	-0.102
chr6:32130344-32130399:32134477-32134587|+|32125701|32134686	ENSG00000258388.7_3	PPT2-EGFL8	chr6	+	32130344	32130399	32134477	32134587	32125616	32125701	32134686	32134765	chr6:32130344-32130399:32134477-32134587|+|32125701|32134686	173,202,184	75,103,142	213,277,267	73,80,94	155	200	0.00029943158116	0.00654479147004	0.749,0.717,0.626	0.79,0.817,0.786	-0.1
chr19:677791-677977:680273-680489|+|676526|681332	ENSG00000070404.10_5	FSTL3	chr19	+	677791	677977	680273	680489	676391	676526	681332	681560	chr19:677791-677977:680273-680489|+|676526|681332	545,150,380	475,172,325	316,229,403	37,63,179	200	200	2.36033415035e-12	4.45556332135e-10	0.534,0.466,0.539	0.895,0.784,0.692	-0.277
chr19:677791-677977:681332-681560|+|676526|681649	ENSG00000070404.10_5	FSTL3	chr19	+	677791	677977	681332	681560	676391	676526	681649	683385	chr19:677791-677977:681332-681560|+|676526|681649	543,150,384	963,311,654	314,229,399	320,272,541	200	200	2.72588080126e-05	0.000954911277154	0.361,0.325,0.37	0.495,0.457,0.424	-0.107
chr22:21057920-21058039:21058475-21058516|+|21057812|21058598	ENSG00000226287.8_4	TMEM191A	chr22	+	21057920	21058039	21058475	21058516	21057755	21057812	21058598	21058793	chr22:21057920-21058039:21058475-21058516|+|21057812|21058598	43,42,70	64,64,84	19,32,49	14,17,30	200	141	0.000103996660811	0.00282518044161	0.321,0.316,0.37	0.489,0.57,0.535	-0.196
chr22:21057920-21058328:21058475-21058516|+|21057812|21058598	ENSG00000226287.8_4	TMEM191A	chr22	+	21057920	21058328	21058475	21058516	21057755	21057812	21058598	21058628	chr22:21057920-21058328:21058475-21058516|+|21057812|21058598	49,44,80	64,64,84	20,35,49	14,17,30	200	141	0.000367874121137	0.00769832808114	0.351,0.326,0.402	0.502,0.592,0.535	-0.183
chr8:28932797-28932860:28950261-28950395|-|28929833|28956649	ENSG00000197892.13_3	KIF13B	chr8	-	28932797	28932860	28950261	28950395	28929136	28929833	28956649	28956758	chr8:28932797-28932860:28950261-28950395|-|28929833|28956649	89,157,142	36,69,57	135,142,98	15,34,13	200	163	6.09187425837e-07	3.80527846687e-05	0.668,0.65,0.67	0.88,0.773,0.86	-0.175
chr6:107006360-107006500:107011638-107011801|+|107003772|107016346	ENSG00000112297.15_7	CRYBG1	chr6	+	107006360	107006500	107011638	107011801	107003642	107003772	107016346	107018335	chr6:107006360-107006500:107011638-107011801|+|107003772|107016346	173,176,171	336,383,375	149,190,84	155,275,130	200	200	0.000317477380892	0.00687155985475	0.34,0.315,0.313	0.49,0.409,0.393	-0.108
chr4:146684241-146684274:146684553-146684620|-|146682750|146686139	ENSG00000151612.17_6	ZNF827	chr4	-	146684241	146684274	146684553	146684620	146678778	146682750	146686139	146686317	chr4:146684241-146684274:146684553-146684620|-|146682750|146686139	3,2,5	94,90,159	94,83,61	310,392,188	167	133	0	0.0	0.025,0.017,0.024	0.195,0.144,0.205	-0.159
chr5:175782573-175782752:175786483-175786570|-|175775359|175786813	ENSG00000122203.15_4	KIAA1191	chr5	-	175782573	175782752	175786483	175786570	175775252	175775359	175786813	175786921	chr5:175782573-175782752:175786483-175786570|-|175775359|175786813	370,439,598	139,157,177	725,750,676	172,157,167	187	200	0.00044613925396	0.00896456493754	0.74,0.749,0.783	0.818,0.836,0.812	-0.065
chr2:672807-672862:675509-675630|-|669850|675757	ENSG00000151353.15_5	TMEM18	chr2	-	672807	672862	675509	675630	669756	669850	675757	676162	chr2:672807-672862:675509-675630|-|669850|675757	91,128,69	301,329,348	95,76,111	201,130,225	200	155	4.28832242565e-05	0.00137606836759	0.19,0.232,0.133	0.268,0.312,0.277	-0.101
chr3:196454793-196455007:196457862-196457963|+|196449427|196460629	ENSG00000163964.15_5	PIGX	chr3	+	196454793	196455007	196457862	196457963	196449285	196449427	196460629	196460773	chr3:196454793-196455007:196457862-196457963|+|196449427|196460629	324,293,272	315,254,284	531,445,423	357,277,298	200	200	0.000435670915321	0.00879402220734	0.507,0.536,0.489	0.598,0.616,0.587	-0.09
chr5:140874373-140874432:140884959-140885048|+|140742123|140890513	ENSG00000253910.2_4	PCDHGB2	chr5	+	140874373	140874432	140884959	140885048	140739702	140742123	140890513	140892546	chr5:140874373-140874432:140884959-140885048|+|140742123|140890513	1,5,2	99,136,124	116,168,87	596,780,517	159	189	0	0.0	0.012,0.042,0.019	0.188,0.204,0.167	-0.162
chr5:112868575-112868742:112870001-112870104|+|112851059|112871338	ENSG00000047188.16_3	YTHDC2	chr5	+	112868575	112868742	112870001	112870104	112850968	112851059	112871338	112871495	chr5:112868575-112868742:112870001-112870104|+|112851059|112871338	16,14,10	115,86,162	53,34,21	151,173,105	200	200	0.000138505701478	0.0035562871975	0.122,0.14,0.058	0.26,0.164,0.167	-0.09
chr5:80809446-80809536:80911291-80911376|-|80785128|80932375	ENSG00000145687.16_4	SSBP2	chr5	-	80809446	80809536	80911291	80911376	80785068	80785128	80932375	80932437	chr5:80809446-80809536:80911291-80911376|-|80785128|80932375	10,23,14	50,76,53	72,115,77	110,166,162	185	190	1.28211577228e-05	0.000510225352596	0.17,0.237,0.213	0.402,0.416,0.328	-0.175
chr5:80911291-80911376:80932375-80932437|-|80809536|80946085	ENSG00000145687.16_4	SSBP2	chr5	-	80911291	80911376	80932375	80932437	80809446	80809536	80946085	80946158	chr5:80911291-80911376:80932375-80932437|-|80809536|80946085	8,11,5	38,72,60	27,64,51	112,164,124	162	185	0.000143804600952	0.00366456934413	0.194,0.149,0.087	0.216,0.308,0.32	-0.138
chr19:15514468-15514526:15521330-15521405|-|15514366|15529721	ENSG00000011243.18_5	AKAP8L	chr19	-	15514468	15514526	15521330	15521405	15514285	15514366	15529721	15529799	chr19:15514468-15514526:15521330-15521405|-|15514366|15529721	591,775,626	48,183,87	444,665,459	32,49,51	175	158	0.0002855398171	0.00631404947672	0.917,0.793,0.867	0.926,0.925,0.89	-0.055
chr5:72144211-72144325:72151600-72151750|+|72112579|72157634	ENSG00000083312.17_2	TNPO1	chr5	+	72144211	72144325	72151600	72151750	72112138	72112579	72157634	72157741	chr5:72144211-72144325:72151600-72151750|+|72112579|72157634	269,123,305	880,364,977	717,825,473	1812,1610,975	200	200	9.95741880183e-05	0.002730389982	0.234,0.253,0.238	0.284,0.339,0.327	-0.075
chr8:408368-408551:413006-413150|+|401453|418714	ENSG00000147364.16_3	FBXO25	chr8	+	408368	408551	413006	413150	401268	401453	418714	419690	chr8:408368-408551:413006-413150|+|401453|418714	162,223,208	161,192,172	155,173,182	74,108,111	200	200	0.00039888717066	0.00820986960044	0.502,0.537,0.547	0.677,0.616,0.621	-0.109
chr15:93435233-93435302:93444396-93444529|+|93429484|93467550	ENSG00000279765.3_7	AC013394.1	chr15	+	93435233	93435302	93444396	93444529	93429398	93429484	93467550	93467782	chr15:93435233-93435302:93444396-93444529|+|93429484|93467550	215,330,234	100,195,143	485,643,528	188,240,116	169	200	7.97400132801e-06	0.000344256516086	0.718,0.667,0.659	0.753,0.76,0.843	-0.104
chr6:86324698-86325065:86332199-86332405|-|86322641|86333694	ENSG00000135316.17_3	SYNCRIP	chr6	-	86324698	86325065	86332199	86332405	86317502	86322641	86333694	86333830	chr6:86324698-86325065:86332199-86332405|-|86322641|86333694	2053,1710,2052	1405,1194,1635	2005,1785,1460	946,885,890	200	200	0.000169285233644	0.00415911850751	0.594,0.589,0.557	0.679,0.669,0.621	-0.076
chr6:74190719-74190839:74191751-74191967|+|74190528|74201956	ENSG00000135297.15_3	MTO1	chr6	+	74190719	74190839	74191751	74191967	74190397	74190528	74201956	74202075	chr6:74190719-74190839:74191751-74191967|+|74190528|74201956	6,7,3	24,30,16	13,11,16	7,17,21	200	200	0.000251489005377	0.00571521527842	0.2,0.189,0.158	0.65,0.393,0.432	-0.309
chr6:74190719-74190839:74191762-74191967|+|74190528|74201956	ENSG00000135297.15_3	MTO1	chr6	+	74190719	74190839	74191762	74191967	74190397	74190528	74201956	74202075	chr6:74190719-74190839:74191762-74191967|+|74190528|74201956	6,7,3	161,203,204	13,11,16	141,169,141	200	200	6.09834517759e-05	0.00182624088896	0.036,0.033,0.014	0.084,0.061,0.102	-0.055
chr12:68709857-68710033:68710360-68710390|-|68709045|68715126	ENSG00000111554.14_2	MDM1	chr12	-	68709857	68710033	68710360	68710390	68708727	68709045	68715126	68715226	chr12:68709857-68710033:68710360-68710390|-|68709045|68715126	3,3,1	117,85,99	10,8,9	118,70,93	130	200	7.19905665026e-05	0.00209117002066	0.038,0.052,0.015	0.115,0.15,0.13	-0.097
chr4:185691408-185691486:185691552-185691630|-|185689604|185694234	ENSG00000151726.14_4	ACSL1	chr4	-	185691408	185691486	185691552	185691630	185689469	185689604	185694234	185694308	chr4:185691408-185691486:185691552-185691630|-|185689604|185694234	394,683,497	32,132,78	280,293,275	12,20,8	178	178	1.70506386787e-10	2.37051751997e-08	0.925,0.838,0.864	0.959,0.936,0.972	-0.08
chr17:17720271-17720450:17720569-17720771|-|17720032|17721009	ENSG00000072310.17_4	SREBF1	chr17	-	17720271	17720450	17720569	17720771	17719770	17720032	17721009	17721230	chr17:17720271-17720450:17720569-17720771|-|17720032|17721009	343,967,791	653,1690,1150	128,374,174	143,415,220	200	200	0.000311088282679	0.00676055123432	0.344,0.364,0.408	0.472,0.474,0.442	-0.091
chr14:92547308-92547401:92548643-92548810|-|92537397|92549469	ENSG00000066427.23_6	ATXN3	chr14	-	92547308	92547401	92548643	92548810	92537281	92537397	92549469	92549602	chr14:92547308-92547401:92548643-92548810|-|92537397|92549469	149,203,140	173,153,165	257,280,268	119,137,139	200	193	3.3850741521e-07	2.30467015875e-05	0.454,0.561,0.45	0.676,0.664,0.65	-0.175
chr14:92547308-92547405:92548643-92548810|-|92537397|92549469	ENSG00000066427.23_6	ATXN3	chr14	-	92547308	92547405	92548643	92548810	92537278	92537397	92549469	92549602	chr14:92547308-92547405:92548643-92548810|-|92537397|92549469	149,203,140	177,159,172	257,280,268	139,152,146	200	197	2.85798819311e-06	0.000144572652252	0.453,0.557,0.445	0.646,0.645,0.644	-0.16
chr14:92560089-92560175:92562436-92562478|-|92559662|92563017	ENSG00000066427.23_6	ATXN3	chr14	-	92560089	92560175	92562436	92562478	92559595	92559662	92563017	92563182	chr14:92560089-92560175:92562436-92562478|-|92559662|92563017	2,4,0	73,76,56	16,7,14	102,131,113	142	186	0.000137558545514	0.00353831911078	0.035,0.064,0.0	0.17,0.065,0.14	-0.092
chr14:92560089-92560175:92562436-92562478|-|92559662|92572872	ENSG00000066427.23_6	ATXN3	chr14	-	92560089	92560175	92562436	92562478	92559595	92559662	92572872	92572918	chr14:92560089-92560175:92562436-92562478|-|92559662|92572872	1,4,0	69,74,55	17,7,12	98,129,109	142	186	4.58885123689e-05	0.00145330555532	0.019,0.066,0.0	0.185,0.066,0.126	-0.097
chr14:92560089-92560175:92562436-92562481|-|92559662|92572872	ENSG00000066427.23_6	ATXN3	chr14	-	92560089	92560175	92562436	92562481	92559595	92559662	92572872	92572918	chr14:92560089-92560175:92562436-92562481|-|92559662|92572872	1,5,3	69,74,55	20,15,17	98,129,109	145	186	4.72524043467e-05	0.0014884449561	0.018,0.08,0.065	0.207,0.13,0.167	-0.114
chr2:33540210-33540336:33567904-33568030|+|33526711|33572433	ENSG00000049323.16_5	LTBP1	chr2	+	33540210	33540336	33567904	33568030	33526588	33526711	33572433	33572577	chr2:33540210-33540336:33567904-33568030|+|33526711|33572433	64,34,74	401,282,437	489,392,381	1401,1561,1182	200	200	2.75306821784e-09	3.10087491133e-07	0.138,0.108,0.145	0.259,0.201,0.244	-0.104
chr2:33572433-33572577:33585663-33585846|+|33540336|33586495	ENSG00000049323.16_5	LTBP1	chr2	+	33572433	33572577	33585663	33585846	33540210	33540336	33586495	33586582	chr2:33572433-33572577:33585663-33585846|+|33540336|33586495	63,32,77	418,277,438	483,383,379	2027,1890,1474	200	200	0.000194715472625	0.00465855230361	0.131,0.104,0.15	0.192,0.168,0.205	-0.06
chr2:102472438-102472600:102475457-102475544|+|102460773|102476197	ENSG00000071054.16_6	MAP4K4	chr2	+	102472438	102472600	102475457	102475544	102460562	102460773	102476197	102476326	chr2:102472438-102472600:102475457-102475544|+|102460773|102476197	2464,1516,2079	757,456,648	3168,2555,2292	616,635,530	200	187	0.000438927300321	0.00884311434168	0.753,0.757,0.75	0.828,0.79,0.802	-0.053
chr2:102472438-102472600:102476104-102476326|+|102460773|102481391	ENSG00000071054.16_6	MAP4K4	chr2	+	102472438	102472600	102476104	102476326	102460562	102460773	102481391	102481498	chr2:102472438-102472600:102476104-102476326|+|102460773|102481391	2462,1517,2088	713,617,777	3147,2549,2301	623,726,617	200	200	7.76650470998e-05	0.0022268592792	0.775,0.711,0.729	0.835,0.778,0.789	-0.062
chr2:102472438-102472600:102476197-102476326|+|102460773|102481391	ENSG00000071054.16_6	MAP4K4	chr2	+	102472438	102472600	102476197	102476326	102460562	102460773	102481391	102481498	chr2:102472438-102472600:102476197-102476326|+|102460773|102481391	2462,1517,2088	710,615,772	3147,2549,2301	621,723,611	200	200	7.43329278057e-05	0.00214854538072	0.776,0.712,0.73	0.835,0.779,0.79	-0.062
chr2:102487955-102488147:102490108-102490226|+|102486877|102493464	ENSG00000071054.16_6	MAP4K4	chr2	+	102487955	102488147	102490108	102490226	102486756	102486877	102493464	102493608	chr2:102487955-102488147:102490108-102490226|+|102486877|102493464	1278,632,1123	1423,1023,1200	1833,1692,1477	836,865,815	200	200	0	0.0	0.473,0.382,0.483	0.687,0.662,0.644	-0.218
chr7:76247499-76247617:76247813-76247932|-|76241130|76254838	ENSG00000146707.14_4	POMZP3	chr7	-	76247499	76247617	76247813	76247932	76241038	76241130	76254838	76255000	chr7:76247499-76247617:76247813-76247932|-|76241130|76254838	46,45,35	240,253,274	24,36,37	65,97,106	200	200	7.73801437226e-06	0.000335392244794	0.161,0.151,0.113	0.27,0.271,0.259	-0.125
chr2:74177727-74177859:74184251-74184367|+|74174033|74185272	ENSG00000114956.20_3	DGUOK	chr2	+	74177727	74177859	74184251	74184367	74173845	74174033	74185272	74185372	chr2:74177727-74177859:74184251-74184367|+|74174033|74185272	30,67,66	488,568,632	71,66,87	412,426,452	200	200	1.16941290111e-05	0.000473077445188	0.058,0.106,0.095	0.147,0.134,0.161	-0.061
chr2:74177753-74177859:74184251-74184367|+|74174033|74185272	ENSG00000114956.20_3	DGUOK	chr2	+	74177753	74177859	74184251	74184367	74173845	74174033	74185272	74185372	chr2:74177753-74177859:74184251-74184367|+|74174033|74185272	41,80,70	488,568,632	74,70,106	412,426,452	200	200	3.76539747314e-05	0.00123915457743	0.078,0.123,0.1	0.152,0.141,0.19	-0.061
