ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr11:73519357-73519395|+|73499037|73536752	ENSG00000175581.13_3	MRPL48	chr11	+	73519357	73519395	73498360	73499037	73536752	73536841	chr11:73519357-73519395|+|73499037|73536752	233,335,428	32,69,82	281,280,273	18,35,26	138	100	3.81392709613e-05	0.00169788682171	0.841,0.779,0.791	0.919,0.853,0.884	-0.082
chr11:73554291-73554412|+|73499037|73555851	ENSG00000175581.13_3	MRPL48	chr11	+	73554291	73554412	73498935	73499037	73555851	73555979	chr11:73554291-73554412|+|73499037|73555851	45,61,52	1,8,8	43,50,45	1,2,0	200	100	0.000251779335758	0.00776439875183	0.957,0.792,0.765	0.956,0.926,1.0	-0.123
chr9:40789264-40789323|-|40784603|40792004	ENSG00000274349.4_2	ZNF658	chr9	-	40789264	40789323	40784476	40784603	40792004	40792112	chr9:40789264-40789323|-|40784603|40792004	14,14,28	1,4,4	30,19,22	0,0,0	159	100	5.33060714614e-06	0.000326873966299	0.898,0.688,0.815	1.0,1.0,1.0	-0.2
chr9:40789264-40789480|-|40784603|40792004	ENSG00000274349.4_2	ZNF658	chr9	-	40789264	40789480	40784476	40784603	40792004	40792103	chr9:40789264-40789480|-|40784603|40792004	10,7,31	1,4,4	19,19,12	0,0,0	200	100	2.76277516786e-06	0.000186780143633	0.833,0.467,0.795	1.0,1.0,1.0	-0.302
chr17:42516038-42516083|-|42513913|42541839	ENSG00000186566.13_4	GPATCH8	chr17	-	42516038	42516083	42513845	42513913	42541839	42541912	chr17:42516038-42516083|-|42513913|42541839	9,12,20	225,169,320	35,44,16	227,276,140	145	100	3.05217988061e-06	0.000203402387372	0.027,0.047,0.041	0.096,0.099,0.073	-0.051
chr12:111948188-111948386|-|111947802|111951160	ENSG00000204842.16_7	ATXN2	chr12	-	111948188	111948386	111947694	111947802	111951160	111951343	chr12:111948188-111948386|-|111947802|111951160	321,272,300	12,19,10	435,442,293	8,1,5	200	100	3.20686529109e-06	0.000212006355205	0.93,0.877,0.938	0.965,0.995,0.967	-0.061
chr1:46878794-46878892|+|46877923|46879118	ENSG00000117480.16_3	FAAH	chr1	+	46878794	46878892	46877814	46877923	46879118	46879520	chr1:46878794-46878892|+|46877923|46879118	33,59,35	0,3,6	22,20,14	0,0,0	198	100	0.000153788290993	0.00525313920487	1.0,0.909,0.747	1.0,1.0,1.0	-0.115
chr5:150490187-150490205|-|150489407|150496687	ENSG00000197043.14_3	ANXA6	chr5	-	150490187	150490205	150489313	150489407	150496687	150496741	chr5:150490187-150490205|-|150489407|150496687	362,337,398	903,1272,1308	2908,3517,3505	1387,1870,1708	118	100	0	0.0	0.254,0.183,0.205	0.64,0.614,0.635	-0.416
chr8:144672814-144672908|-|144672251|144679024	ENSG00000104529.17_7	EEF1D	chr8	-	144672814	144672908	144671813	144672251	144679024	144679551	chr8:144672814-144672908|-|144672251|144679024	38,56,55	6,0,12	27,16,14	0,1,0	194	100	6.21248848112e-05	0.00253411627948	0.766,1.0,0.703	1.0,0.892,1.0	-0.141
chr8:133655869-133655932|-|133650353|133669075	ENSG00000129295.9_4	LRRC6	chr8	-	133655869	133655932	133650230	133650353	133669075	133669153	chr8:133655869-133655932|-|133650353|133669075	0,0,0	25,14,16	8,1,10	54,64,39	163	100	8.08240462495e-05	0.00313409060868	0.0,0.0,0.0	0.083,0.009,0.136	-0.076
chr8:130891634-130891717|-|130883742|130915557	ENSG00000153310.19_5	FAM49B	chr8	-	130891634	130891717	130883620	130883742	130915557	130915596	chr8:130891634-130891717|-|130883742|130915557	2887,3836,3379	166,156,195	2591,2798,2367	57,34,56	183	100	2.22044604925e-16	8.23431072085e-14	0.905,0.931,0.904	0.961,0.978,0.959	-0.053
chr8:130916744-130916831|-|130915596|130951853	ENSG00000153310.19_5	FAM49B	chr8	-	130916744	130916831	130915557	130915596	130951853	130951992	chr8:130916744-130916831|-|130915596|130951853	1425,1849,1427	907,778,845	1049,1097,1010	381,368,353	187	100	5.82874110113e-05	0.00240720100269	0.457,0.56,0.475	0.596,0.615,0.605	-0.108
chr9:117433999-117434107|-|117433739|117444314	ENSG00000230601.6_6	TEX48	chr9	-	117433999	117434107	117433662	117433739	117444314	117444346	chr9:117433999-117434107|-|117433739|117444314	52,90,106	7,15,4	39,61,38	0,1,0	200	100	3.73834994738e-07	3.34547958451e-05	0.788,0.75,0.93	1.0,0.968,1.0	-0.167
chr8:92036516-92036594|-|92033632|92052871	ENSG00000155099.8_5	PIP4P2	chr8	-	92036516	92036594	92033483	92033632	92052871	92053100	chr8:92036516-92036594|-|92033632|92052871	91,67,104	302,354,365	168,170,140	323,494,372	178	100	0.00011076378556	0.00402692965654	0.145,0.096,0.138	0.226,0.162,0.175	-0.061
chr1:120839969-120839985|+|120839865|120841974	ENSG00000188610.8	FAM72B	chr1	+	120839969	120839985	120839411	120839865	120841974	120842052	chr1:120839969-120839985|+|120839865|120841974	41,40,27	6,7,14	24,12,16	0,3,0	116	100	0.000294093503503	0.00877630301857	0.855,0.831,0.624	1.0,0.775,1.0	-0.155
chr17:7311330-7312031|+|7308929|7315475	ENSG00000169992.10_3	NLGN2	chr17	+	7311330	7312031	7308192	7308929	7315475	7315526	chr17:7311330-7312031|+|7308929|7315475	149,190,218	15,27,22	203,272,166	11,11,8	200	100	9.50821703639e-05	0.00356047318902	0.832,0.779,0.832	0.902,0.925,0.912	-0.099
chr2:27015369-27015701|+|27015108|27016012	ENSG00000115163.15_4	CENPA	chr2	+	27015369	27015701	27014998	27015108	27016012	27016194	chr2:27015369-27015701|+|27015108|27016012	676,687,687	169,93,115	545,398,485	56,45,46	200	100	0.000135638019926	0.00474052947476	0.667,0.787,0.749	0.83,0.816,0.841	-0.095
chr2:27015623-27015701|+|27015108|27016012	ENSG00000115163.15_4	CENPA	chr2	+	27015623	27015701	27014998	27015108	27016012	27016194	chr2:27015623-27015701|+|27015108|27016012	1258,1222,1170	169,93,115	962,700,864	56,45,46	178	100	9.13119896173e-06	0.000516965433557	0.807,0.881,0.851	0.906,0.897,0.913	-0.059
chr8:67834848-67834960|-|67834627|67837671	ENSG00000245910.8_4	SNHG6	chr8	-	67834848	67834960	67834558	67834627	67837671	67837776	chr8:67834848-67834960|-|67834627|67837671	2914,4067,3166	995,578,867	2334,2778,3074	270,233,405	200	100	1.06558186153e-06	8.2609490911e-05	0.594,0.779,0.646	0.812,0.856,0.791	-0.147
chr8:52773404-52773806|-|52758323|52811489	ENSG00000168300.14_4	PCMTD1	chr8	-	52773404	52773806	52758220	52758323	52811489	52811596	chr8:52773404-52773806|-|52758323|52811489	50,111,58	13,5,8	61,88,64	2,3,1	200	100	0.000223488183885	0.00707478051969	0.658,0.917,0.784	0.938,0.936,0.97	-0.162
chr8:145583282-145583407|+|145583083|145584462	ENSG00000185803.10_6	SLC52A2	chr8	+	145583282	145583407	145582843	145583083	145584462	145584932	chr8:145583282-145583407|+|145583083|145584462	2946,2298,2691	80,113,92	1495,1530,1578	3,3,5	200	100	0	0.0	0.948,0.91,0.936	0.996,0.996,0.994	-0.064
chr8:145583282-145584153|+|145583083|145584462	ENSG00000185803.10_6	SLC52A2	chr8	+	145583282	145584153	145582843	145583083	145584462	145584681	chr8:145583282-145584153|+|145583083|145584462	2943,2300,2691	80,113,92	1492,1527,1574	3,3,5	200	100	0	0.0	0.948,0.911,0.936	0.996,0.996,0.994	-0.064
chr8:145584249-145584373|+|145583083|145584462	ENSG00000185803.10_6	SLC52A2	chr8	+	145584249	145584373	145582843	145583083	145584462	145584681	chr8:145584249-145584373|+|145583083|145584462	3085,2474,3149	80,113,92	1111,1147,1624	3,3,5	200	100	0	0.0	0.951,0.916,0.945	0.995,0.995,0.994	-0.057
chr8:56657619-56657680|-|56656179|56663522	ENSG00000167904.15_6	TMEM68	chr8	-	56657619	56657680	56656039	56656179	56663522	56663716	chr8:56657619-56657680|-|56656179|56663522	135,159,130	8,9,11	120,120,89	1,3,1	161	100	5.55325689624e-05	0.00231273844544	0.913,0.916,0.88	0.987,0.961,0.982	-0.074
chr4:152403675-152403800|+|152375960|152487289	ENSG00000164142.16_4	FAM160A1	chr4	+	152403675	152403800	152375852	152375960	152487289	152487410	chr4:152403675-152403800|+|152375960|152487289	38,18,36	5,8,8	18,29,12	0,0,2	200	100	1.97783108341e-05	0.000988276813101	0.792,0.529,0.692	1.0,1.0,0.75	-0.246
chr8:18793543-18793652|-|18662408|18871072	ENSG00000156011.17_4	PSD3	chr8	-	18793543	18793652	18662213	18662408	18871072	18871196	chr8:18793543-18793652|-|18662408|18871072	31,21,52	2,6,8	33,54,19	0,0,0	200	100	6.61684136372e-08	7.2139566073e-06	0.886,0.636,0.765	1.0,1.0,1.0	-0.238
chr19:5687292-5687386|+|5687002|5687513	ENSG00000167733.13_4	HSD11B1L	chr19	+	5687292	5687386	5686910	5687002	5687513	5687587	chr19:5687292-5687386|+|5687002|5687513	7,102,46	0,8,6	18,24,26	0,0,0	194	100	1.27297804503e-05	0.000686982190841	1.0,0.868,0.798	1.0,1.0,1.0	-0.111
chr9:114235176-114235280|-|114213835|114246395	ENSG00000136813.14_7	ECPAS	chr9	-	114235176	114235280	114213704	114213835	114246395	114246637	chr9:114235176-114235280|-|114213835|114246395	64,35,65	141,98,185	48,48,33	77,53,38	200	100	6.52403487884e-05	0.00263752127184	0.185,0.152,0.149	0.238,0.312,0.303	-0.122
chr3:197351342-197351591|-|197351068|197354650	ENSG00000214135.8_5	AC132008.2	chr3	-	197351342	197351591	197350982	197351068	197354650	197354713	chr3:197351342-197351591|-|197351068|197354650	51,36,65	139,111,145	69,71,50	69,64,79	200	100	1.22828965265e-06	9.34734521397e-05	0.155,0.14,0.183	0.333,0.357,0.24	-0.151
chr20:61292415-61292527|+|61290119|61299096	ENSG00000101187.16_3	SLCO4A1	chr20	+	61292415	61292527	61290028	61290119	61299096	61299262	chr20:61292415-61292527|+|61290119|61299096	31,48,32	3,1,6	5,21,33	0,0,0	200	100	3.45466669478e-05	0.00156475329388	0.838,0.96,0.727	1.0,1.0,1.0	-0.158
chrX:102094728-102094791|+|102082072|102139070	ENSG00000223546.7_7	LINC00630	chrX	+	102094728	102094791	102081896	102082072	102139070	102140334	chrX:102094728-102094791|+|102082072|102139070	13,12,16	4,1,6	16,14,10	0,0,0	163	100	2.52745551044e-07	2.36609491215e-05	0.666,0.88,0.621	1.0,1.0,1.0	-0.278
chrX:102119969-102120080|+|102082072|102139070	ENSG00000223546.7_7	LINC00630	chrX	+	102119969	102120080	102081896	102082072	102139070	102139094	chrX:102119969-102120080|+|102082072|102139070	38,22,28	4,1,6	39,33,18	0,0,0	200	100	2.33549201756e-06	0.000162749459079	0.826,0.917,0.7	1.0,1.0,1.0	-0.186
chr7:158443523-158443664|-|158439255|158444984	ENSG00000146918.19_3	NCAPG2	chr7	-	158443523	158443664	158439151	158439255	158444984	158445172	chr7:158443523-158443664|-|158439255|158444984	902,970,1076	102,90,97	956,725,911	30,27,41	200	100	7.41950945127e-12	1.658492898e-09	0.816,0.843,0.847	0.941,0.931,0.917	-0.094
chr15:67652184-67652223|+|67649759|67664448	ENSG00000103599.20_6	IQCH	chr15	+	67652184	67652223	67649682	67649759	67664448	67664782	chr15:67652184-67652223|+|67649759|67664448	11,13,8	6,3,0	13,34,21	1,0,0	139	100	3.80701663603e-05	0.00169554879033	0.569,0.757,1.0	0.903,1.0,1.0	-0.192
chrX:123224703-123224814|+|123224614|123227867	ENSG00000101972.18_3	STAG2	chrX	+	123224703	123224814	123224424	123224614	123227867	123227994	chrX:123224703-123224814|+|123224614|123227867	263,338,394	734,961,1022	594,625,499	1129,1098,954	200	100	3.74574500002e-05	0.00167214016345	0.152,0.15,0.162	0.208,0.222,0.207	-0.058
chr7:128049342-128049406|-|128045919|128049494	ENSG00000106348.18_7	IMPDH1	chr7	-	128049342	128049406	128045820	128045919	128049494	128049538	chr7:128049342-128049406|-|128045919|128049494	18,23,20	2,4,2	13,32,21	0,1,0	164	100	0.000283017598233	0.00851788538902	0.846,0.778,0.859	1.0,0.951,1.0	-0.156
chr7:128049342-128049406|-|128045919|128049809	ENSG00000106348.18_7	IMPDH1	chr7	-	128049342	128049406	128045820	128045919	128049809	128050036	chr7:128049342-128049406|-|128045919|128049809	17,23,21	136,197,244	13,32,21	61,70,109	164	100	2.5568135818e-05	0.00122158649842	0.071,0.066,0.05	0.115,0.218,0.105	-0.084
chr7:128049342-128049420|-|128045919|128049809	ENSG00000106348.18_7	IMPDH1	chr7	-	128049342	128049420	128045820	128045919	128049809	128050036	chr7:128049342-128049420|-|128045919|128049809	35,40,47	136,197,244	27,50,41	61,70,109	178	100	5.52116720143e-06	0.000336899952879	0.126,0.102,0.098	0.199,0.286,0.174	-0.111
chr7:128049342-128049538|-|128045919|128049809	ENSG00000106348.18_7	IMPDH1	chr7	-	128049342	128049538	128045820	128045919	128049809	128050036	chr7:128049342-128049538|-|128045919|128049809	58,98,98	136,197,244	67,96,88	61,70,109	200	100	3.51606032067e-08	4.08301006984e-06	0.176,0.199,0.167	0.354,0.407,0.288	-0.169
chr2:234377068-234377199|+|234375849|234378016	ENSG00000077044.10_3	DGKD	chr2	+	234377068	234377199	234375731	234375849	234378016	234380742	chr2:234377068-234377199|+|234375849|234378016	386,439,377	25,31,32	451,475,500	1,0,1	200	100	0	0.0	0.885,0.876,0.855	0.996,1.0,0.996	-0.125
chr7:107205032-107205121|+|107204692|107207494	ENSG00000105865.11_3	DUS4L	chr7	+	107205032	107205121	107204432	107204692	107207494	107207631	chr7:107205032-107205121|+|107204692|107207494	134,136,170	11,12,2	99,111,141	2,0,3	189	100	0.000227667051288	0.0071811241	0.866,0.857,0.978	0.963,1.0,0.961	-0.074
chr2:192265474-192265561|+|192265194|192267357	ENSG00000128641.19_5	MYO1B	chr2	+	192265474	192265561	192265107	192265194	192267357	192267444	chr2:192265474-192265561|+|192265194|192267357	158,21,122	124,25,105	613,487,543	135,120,133	187	100	0	0.0	0.405,0.31,0.383	0.708,0.685,0.686	-0.327
chr2:192265474-192265561|+|192265194|192272840	ENSG00000128641.19_5	MYO1B	chr2	+	192265474	192265561	192265107	192265194	192272840	192272915	chr2:192265474-192265561|+|192265194|192272840	102,23,59	750,514,774	297,231,276	218,230,216	187	100	0	0.0	0.068,0.023,0.039	0.421,0.349,0.406	-0.349
chr2:192267357-192267444|+|192265194|192272840	ENSG00000128641.19_5	MYO1B	chr2	+	192267357	192267444	192265107	192265194	192272840	192272915	chr2:192267357-192267444|+|192265194|192272840	255,42,229	750,514,774	424,357,402	218,230,216	187	100	0	0.0	0.154,0.042,0.137	0.51,0.454,0.499	-0.377
chr8:145066045-145066117|+|145065972|145066412	ENSG00000178719.17_4	GRINA	chr8	+	145066045	145066117	145065914	145065972	145066412	145066541	chr8:145066045-145066117|+|145065972|145066412	1952,2271,2226	100,150,172	1608,1889,1795	1,0,1	172	100	0	0.0	0.919,0.898,0.883	0.999,1.0,0.999	-0.099
chr16:57153106-57153190|+|57151479|57155004	ENSG00000140848.17_4	CPNE2	chr16	+	57153106	57153190	57151407	57151479	57155004	57155103	chr16:57153106-57153190|+|57151479|57155004	238,166,261	8,11,11	271,284,263	2,5,3	184	100	7.14093724131e-05	0.00283791413483	0.942,0.891,0.928	0.987,0.969,0.979	-0.058
chr16:57168686-57168738|+|57161815|57179996	ENSG00000140848.17_4	CPNE2	chr16	+	57168686	57168738	57161760	57161815	57179996	57180233	chr16:57168686-57168738|+|57161815|57179996	164,192,200	7,14,12	233,188,226	3,5,3	152	100	8.24333011183e-05	0.003181607973	0.939,0.9,0.916	0.981,0.961,0.98	-0.056
chr7:116335803-116335853|+|116312631|116339124	ENSG00000105976.15_4	MET	chr7	+	116335803	116335853	116312443	116312631	116339124	116339653	chr7:116335803-116335853|+|116312631|116339124	196,88,214	821,491,883	292,252,130	736,864,404	150	100	0.000121557591897	0.00433991735401	0.137,0.107,0.139	0.209,0.163,0.177	-0.055
chr7:99215757-99215832|+|99214639|99216147	ENSG00000197037.11_5	ZSCAN25	chr7	+	99215757	99215832	99214588	99214639	99216147	99216274	chr7:99215757-99215832|+|99214639|99216147	5,10,15	60,34,65	40,20,4	37,30,15	175	100	6.80341384074e-05	0.00273102745255	0.045,0.144,0.117	0.382,0.276,0.132	-0.161
chr7:98930947-98931040|+|98923627|98935803	ENSG00000241685.10_4	ARPC1A	chr7	+	98930947	98931040	98923520	98923627	98935803	98935908	chr7:98930947-98931040|+|98923627|98935803	6942,6697,8531	227,276,394	5599,5684,5623	14,28,31	193	100	0	0.0	0.941,0.926,0.918	0.995,0.991,0.989	-0.063
chr8:101964156-101964353|-|101961128|101965496	ENSG00000164924.18_7	YWHAZ	chr8	-	101964156	101964353	101960823	101961128	101965496	101965616	chr8:101964156-101964353|-|101961128|101965496	10565,6573,12339	779,817,935	7676,7912,6689	363,323,273	200	100	2.6645352591e-15	8.87267096566e-13	0.871,0.801,0.868	0.914,0.925,0.925	-0.075
chr7:91671359-91671500|+|91670212|91671981	ENSG00000127914.16_7	AKAP9	chr7	+	91671359	91671500	91669987	91670212	91671981	91672085	chr7:91671359-91671500|+|91670212|91671981	75,53,70	67,29,45	229,227,96	4,3,3	200	100	0	0.0	0.359,0.477,0.437	0.966,0.974,0.941	-0.536
chr11:73063874-73064057|+|73058005|73066577	ENSG00000110237.4_6	ARHGEF17	chr11	+	73063874	73064057	73057927	73058005	73066577	73066694	chr11:73063874-73064057|+|73058005|73066577	76,90,86	3,5,3	73,83,24	0,0,0	200	100	0.000283720676509	0.00853485783964	0.927,0.9,0.935	1.0,1.0,1.0	-0.079
chr1:26620695-26620822|-|26612528|26623917	ENSG00000158062.20_4	UBXN11	chr1	-	26620695	26620822	26612313	26612528	26623917	26623972	chr1:26620695-26620822|-|26612528|26623917	128,86,168	4,1,10	134,119,139	0,0,0	200	100	2.04892906762e-05	0.00101629599079	0.941,0.977,0.894	1.0,1.0,1.0	-0.063
chr1:26623409-26623486|-|26612528|26623917	ENSG00000158062.20_4	UBXN11	chr1	-	26623409	26623486	26612313	26612528	26623917	26623972	chr1:26623409-26623486|-|26612528|26623917	135,74,152	4,1,10	139,105,142	0,0,0	177	100	2.65559941794e-05	0.0012593667968	0.95,0.977,0.896	1.0,1.0,1.0	-0.059
chr7:75616855-75616920|-|75616746|75617035	ENSG00000189077.11_4	TMEM120A	chr7	-	75616855	75616920	75616300	75616746	75617035	75617128	chr7:75616855-75616920|-|75616746|75617035	161,485,273	124,77,102	241,387,396	27,49,53	165	100	0.000290911403447	0.00869943970938	0.44,0.792,0.619	0.844,0.827,0.819	-0.213
chr7:75510682-75510804|+|75508578|75511146	ENSG00000005486.17_3	RHBDD2	chr7	+	75510682	75510804	75508316	75508578	75511146	75511442	chr7:75510682-75510804|+|75508578|75511146	128,152,159	307,289,393	228,303,298	228,250,265	200	100	2.22044604925e-16	8.23431072085e-14	0.173,0.208,0.168	0.333,0.377,0.36	-0.174
chr10:4804519-4804725|-|4790482|4806496	ENSG00000287023.1_1	AC018978.1	chr10	-	4804519	4804725	4790037	4790482	4806496	4806706	chr10:4804519-4804725|-|4790482|4806496	31,41,29	14,26,11	367,742,311	61,120,94	200	100	0.000186955565476	0.00612503659844	0.525,0.441,0.569	0.751,0.756,0.623	-0.198
chr6:43590369-43590541|-|43589904|43591473	ENSG00000172432.19_5	GTPBP2	chr6	-	43590369	43590541	43588226	43589904	43591473	43591532	chr6:43590369-43590541|-|43589904|43591473	331,815,464	21,90,42	338,450,387	10,13,7	200	100	4.51122472711e-11	9.0842085058e-09	0.887,0.819,0.847	0.944,0.945,0.965	-0.1
chr11:64810496-64810636|+|64809338|64811696	ENSG00000168061.15_4	SAC3D1	chr11	+	64810496	64810636	64808716	64809338	64811696	64812145	chr11:64810496-64810636|+|64809338|64811696	244,196,267	392,374,385	191,143,240	172,173,262	200	100	9.62217518889e-05	0.00359436881584	0.237,0.208,0.257	0.357,0.292,0.314	-0.087
chr4:2934077-2934136|-|2933880|2934326	ENSG00000109736.15_4	MFSD10	chr4	-	2934077	2934136	2933771	2933880	2934326	2934485	chr4:2934077-2934136|-|2933880|2934326	286,468,380	23,57,42	345,499,411	2,2,6	159	100	0	0.0	0.887,0.838,0.851	0.991,0.994,0.977	-0.129
chr4:2934077-2934239|-|2933880|2934326	ENSG00000109736.15_4	MFSD10	chr4	-	2934077	2934239	2933551	2933880	2934326	2934417	chr4:2934077-2934239|-|2933880|2934326	962,1412,1051	23,57,42	1088,1679,1423	2,2,6	200	100	0	0.0	0.954,0.925,0.926	0.996,0.998,0.992	-0.06
