ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
chr5:176894599-176894743|-|176894481|176894818	ENSG00000113758.13_6	DBN1	chr5	-	176894481	176894818	176894481	176894599	176894743	176894818	chr5:176894599-176894743|-|176894481|176894818	363,337,373	0,0,0	699,731,622	0,69,0	200	100	1.18204044774e-07	7.88048378936e-06	1.0,1.0,1.0	1.0,0.841,1.0	0.053
chr14:24034910-24035272|-|24034814|24035369	ENSG00000213983.11_3	AP1G2	chr14	-	24034814	24035369	24034814	24034910	24035272	24035369	chr14:24034910-24035272|-|24034814|24035369	315,425,386	9,4,7	358,446,316	24,13,17	200	100	7.0672713483e-05	0.00168325871228	0.946,0.982,0.965	0.882,0.945,0.903	0.054
chr8:144918045-144918136|-|144917989|144918200	ENSG00000185189.18_4	NRBP2	chr8	-	144917989	144918200	144917989	144918045	144918136	144918200	chr8:144918045-144918136|-|144917989|144918200	172,101,109	137,244,228	60,59,60	221,361,193	191	100	4.45731638543e-06	0.000173397146195	0.397,0.178,0.2	0.124,0.079,0.14	0.144
chr8:144921721-144921907|-|144921680|144921997	ENSG00000185189.18_4	NRBP2	chr8	-	144921680	144921997	144921680	144921721	144921907	144921997	chr8:144921721-144921907|-|144921680|144921997	158,169,153	103,129,90	156,205,113	168,243,119	200	100	5.40651532496e-05	0.0013624819754	0.434,0.396,0.459	0.317,0.297,0.322	0.118
chr6:139017892-139018039|+|139017733|139018425	ENSG00000225177.6_7	AL590617.2	chr6	+	139017733	139018425	139017733	139017892	139018039	139018425	chr6:139017892-139018039|+|139017733|139018425	30,102,30	26,67,32	48,66,56	61,121,83	200	100	0.000466142609424	0.00784027155823	0.366,0.432,0.319	0.282,0.214,0.252	0.123
chr9:35091288-35092539|-|35091236|35092764	ENSG00000165282.13_4	PIGO	chr9	-	35091236	35092764	35091236	35091288	35092539	35092764	chr9:35091288-35092539|-|35091236|35092764	408,523,466	10,27,17	375,466,372	28,33,33	200	100	0.000178610676695	0.00359576122158	0.953,0.906,0.932	0.87,0.876,0.849	0.065
chr14:24615105-24615416|-|24614918|24615449	ENSG00000100911.16_4	PSME2	chr14	-	24614918	24615449	24614918	24615105	24615416	24615449	chr14:24615105-24615416|-|24614918|24615449	517,560,622	58,82,54	494,512,445	79,84,99	200	100	0.000382083959216	0.00664826089036	0.817,0.773,0.852	0.758,0.753,0.692	0.08
chr1:153609129-153610770|+|153609047|153610924	ENSG00000160679.13_4	CHTOP	chr1	+	153609047	153610924	153609047	153609129	153610770	153610924	chr1:153609129-153610770|+|153609047|153610924	577,529,682	915,1046,969	283,305,247	677,721,639	200	100	3.54020285007e-05	0.000960789123049	0.24,0.202,0.26	0.173,0.175,0.162	0.064
chr3:49158795-49158865|-|49158546|49159025	ENSG00000172037.14_3	LAMB2	chr3	-	49158546	49159025	49158546	49158795	49158865	49159025	chr3:49158795-49158865|-|49158546|49159025	216,263,255	532,870,585	308,355,271	1173,1698,1393	170	100	9.54285264143e-08	6.58886529188e-06	0.193,0.151,0.204	0.134,0.11,0.103	0.067
chr6:31918180-31918395|+|31918062|31918549	ENSG00000243649.8_3	CFB	chr6	+	31918062	31918549	31918062	31918180	31918395	31918549	chr6:31918180-31918395|+|31918062|31918549	10,4,22	2,2,0	1,7,8	6,12,13	200	100	2.93087763203e-06	0.0001218748336	0.714,0.5,1.0	0.077,0.226,0.235	0.559
chr1:205498691-205499386|+|205498648|205499477	ENSG00000117266.15_5	CDK18	chr1	+	205498648	205499477	205498648	205498691	205499386	205499477	chr1:205498691-205499386|+|205498648|205499477	53,75,59	186,354,252	7,12,8	84,77,65	200	100	0.000619561520829	0.0098532772377	0.125,0.096,0.105	0.04,0.072,0.058	0.052
chr3:52283338-52283685|+|52283189|52284611	ENSG00000164088.18_4	PPM1M	chr3	+	52283189	52284611	52283189	52283338	52283685	52284611	chr3:52283338-52283685|+|52283189|52284611	78,137,116	43,141,82	163,176,119	232,313,253	200	100	3.74223375843e-07	2.13185672669e-05	0.476,0.327,0.414	0.26,0.219,0.19	0.183
chr1:161007616-161007702|-|161007420|161007865	ENSG00000215845.11_5	TSTD1	chr1	-	161007420	161007865	161007420	161007616	161007702	161007865	chr1:161007616-161007702|-|161007420|161007865	30,113,40	109,503,154	3,6,2	17,61,32	186	100	0.000506922758845	0.00838062194441	0.129,0.108,0.123	0.087,0.05,0.033	0.063
chr3:50402401-50402505|-|50402318|50402615	ENSG00000007402.11_3	CACNA2D2	chr3	-	50402318	50402615	50402318	50402401	50402505	50402615	chr3:50402401-50402505|-|50402318|50402615	2,15,13	1,1,1	6,9,7	5,13,18	200	100	1.23543961228e-06	5.90459911318e-05	0.5,0.882,0.867	0.375,0.257,0.163	0.485
chrX:47086498-47086558|+|47086392|47086622	ENSG00000102225.16_7	CDK16	chrX	+	47086392	47086622	47086392	47086498	47086558	47086622	chrX:47086498-47086558|+|47086392|47086622	132,129,140	48,57,64	34,36,45	62,54,68	160	100	1.11022302463e-15	4.16911403361e-13	0.632,0.586,0.578	0.255,0.294,0.293	0.318
chr2:160788809-160798256|-|160788516|160798503	ENSG00000153246.13_4	PLA2R1	chr2	-	160788516	160798503	160788516	160788809	160798256	160798503	chr2:160788809-160798256|-|160788516|160798503	13,24,14	0,0,1	77,84,48	2,6,15	200	100	8.45450724973e-05	0.00194458950811	1.0,1.0,0.875	0.951,0.875,0.615	0.145
chr12:56226822-56227230|+|56226742|56227325	ENSG00000182796.14_5	TMEM198B	chr12	+	56226742	56227325	56226742	56226822	56227230	56227325	chr12:56226822-56227230|+|56226742|56227325	94,128,105	1,3,5	168,183,99	19,20,7	200	100	1.9931968342e-05	0.000600258892761	0.979,0.955,0.913	0.816,0.821,0.876	0.111
chr1:156877843-156877919|+|156877706|156878132	ENSG00000187800.13_2	PEAR1	chr1	+	156877706	156878132	156877706	156877843	156877919	156878132	chr1:156877843-156877919|+|156877706|156878132	35,27,24	26,31,25	22,18,24	35,53,58	176	100	0.000281933802083	0.00518317664793	0.433,0.331,0.353	0.263,0.162,0.19	0.167
chr17:7490095-7490216|+|7490009|7490279	ENSG00000129255.16_4	MPDU1	chr17	+	7490009	7490279	7490009	7490095	7490216	7490279	chr17:7490095-7490216|+|7490009|7490279	214,170,222	495,484,446	119,88,84	563,565,775	200	100	0	0.0	0.178,0.149,0.199	0.096,0.072,0.051	0.102
chr1:43850223-43850716|-|43849587|43850777	ENSG00000159479.17_3	MED8	chr1	-	43849587	43850777	43849587	43850223	43850716	43850777	chr1:43850223-43850716|-|43849587|43850777	941,1419,971	15,38,27	594,740,698	34,39,35	200	100	2.5877980846e-06	0.000110608080501	0.969,0.949,0.947	0.897,0.905,0.909	0.051
chr9:139917504-139918289|-|139917392|139918292	ENSG00000107331.17_5	ABCA2	chr9	-	139917392	139918292	139917392	139917504	139918289	139918292	chr9:139917504-139918289|-|139917392|139918292	32,26,48	31,45,55	22,23,17	47,90,37	200	100	0.000277243361759	0.00512221481925	0.34,0.224,0.304	0.19,0.113,0.187	0.126
chr7:45022921-45023420|-|45022621|45023645	ENSG00000232956.9_3	SNHG15	chr7	-	45022621	45023645	45022621	45022921	45023420	45023645	chr7:45022921-45023420|-|45022621|45023645	343,578,431	664,874,740	191,167,220	533,630,642	200	100	1.53551016346e-09	1.68179492635e-07	0.205,0.248,0.226	0.152,0.117,0.146	0.088
chr1:43220661-43220835|-|43220539|43220888	ENSG00000117385.15_3	P3H1	chr1	-	43220539	43220888	43220539	43220661	43220835	43220888	chr1:43220661-43220835|-|43220539|43220888	95,89,110	145,219,180	195,148,130	554,510,540	200	100	7.22814838316e-07	3.71512693643e-05	0.247,0.169,0.234	0.15,0.127,0.107	0.089
chr15:75194404-75194944|-|75192332|75195127	ENSG00000178761.15_4	FAM219B	chr15	-	75192332	75195127	75192332	75194404	75194944	75195127	chr15:75194404-75194944|-|75192332|75195127	397,677,473	23,29,20	670,919,704	72,95,92	200	100	4.97858476667e-09	4.78373101823e-07	0.896,0.921,0.922	0.823,0.829,0.793	0.098
chr17:46051059-46051296|+|46050884|46051397	ENSG00000108465.15_4	CDK5RAP3	chr17	+	46050884	46051397	46050884	46051059	46051296	46051397	chr17:46051059-46051296|+|46050884|46051397	158,221,172	104,129,113	160,129,69	159,164,151	200	100	9.78789598705e-07	4.84797254669e-05	0.432,0.461,0.432	0.335,0.282,0.186	0.174
chr17:7297155-7297422|-|7296919|7297478	ENSG00000187838.17_5	PLSCR3	chr17	-	7296919	7297478	7296919	7297155	7297422	7297478	chr17:7297155-7297422|-|7296919|7297478	165,149,125	349,451,269	81,61,82	266,329,349	200	100	5.88420673453e-06	0.000217632856319	0.191,0.142,0.189	0.132,0.085,0.105	0.067
chr16:718411-718655|+|718352|718699	ENSG00000140983.14_4	RHOT2	chr16	+	718352	718699	718352	718411	718655	718699	chr16:718411-718655|+|718352|718699	104,56,122	7,0,5	71,71,61	14,14,10	200	100	2.87640111407e-06	0.000120016368933	0.881,1.0,0.924	0.717,0.717,0.753	0.206
chr8:17922040-17924728|-|17921965|17924807	ENSG00000104763.19_7	ASAH1	chr8	-	17921965	17924807	17921965	17922040	17924728	17924807	chr8:17922040-17924728|-|17921965|17924807	200,197,141	191,147,196	91,125,55	193,223,156	200	100	3.77729573064e-07	2.14188382409e-05	0.344,0.401,0.265	0.191,0.219,0.15	0.15
chr1:150482238-150482397|+|150482136|150482478	ENSG00000143369.15_4	ECM1	chr1	+	150482136	150482478	150482136	150482238	150482397	150482478	chr1:150482238-150482397|+|150482136|150482478	15,8,16	25,35,29	12,22,10	84,136,86	200	100	0.000111684841906	0.00243949121406	0.231,0.103,0.216	0.067,0.075,0.055	0.118
chr1:6269403-6269473|+|6269327|6269599	ENSG00000158286.13_3	RNF207	chr1	+	6269327	6269599	6269327	6269403	6269473	6269599	chr1:6269403-6269473|+|6269327|6269599	43,42,77	146,181,272	11,7,12	60,109,131	170	100	1.11667453773e-06	5.39301045446e-05	0.148,0.12,0.143	0.097,0.036,0.051	0.076
chr2:242174690-242174904|-|242174535|242175009	ENSG00000115677.17_6	HDLBP	chr2	-	242174535	242175009	242174535	242174690	242174904	242175009	chr2:242174690-242174904|-|242174535|242175009	77,89,79	5,0,0	47,74,44	2,6,13	200	100	7.61044250389e-05	0.0017861727971	0.885,1.0,1.0	0.922,0.86,0.629	0.158
chr17:75085031-75085234|+|75084830|75085353	ENSG00000234912.12_6	SNHG20	chr17	+	75084830	75085353	75084830	75085031	75085234	75085353	chr17:75085031-75085234|+|75084830|75085353	138,67,110	212,119,172	56,66,32	173,142,162	200	100	7.15767741821e-06	0.000255811343836	0.246,0.22,0.242	0.139,0.189,0.09	0.097
chr5:138860927-138861794|-|138860743|138861887	ENSG00000184584.13_5	TMEM173	chr5	-	138860743	138861887	138860743	138860927	138861794	138861887	chr5:138860927-138861794|-|138860743|138861887	16,22,28	0,0,1	66,98,57	13,32,21	200	100	6.21833584624e-10	7.50298286811e-08	1.0,1.0,0.933	0.717,0.605,0.576	0.345
chr17:73236493-73236892|-|73236422|73237138	ENSG00000125447.17_6	GGA3	chr17	-	73236422	73237138	73236422	73236493	73236892	73237138	chr17:73236493-73236892|-|73236422|73237138	355,336,326	393,394,460	267,194,171	359,416,342	200	100	0.000593303046672	0.00953872670187	0.311,0.299,0.262	0.271,0.189,0.2	0.071
chr19:47995376-47996672|-|47995271|47996750	ENSG00000105402.8_5	NAPA	chr19	-	47995271	47996750	47995271	47995376	47996672	47996750	chr19:47995376-47996672|-|47995271|47996750	49,25,41	0,0,0	60,60,53	2,10,7	200	100	2.31344657209e-07	1.43257727687e-05	1.0,1.0,1.0	0.938,0.75,0.791	0.174
chr14:52472567-52473254|-|52472454|52473378	ENSG00000087303.18_4	NID2	chr14	-	52472454	52473378	52472454	52472567	52473254	52473378	chr14:52472567-52473254|-|52472454|52473378	31,13,29	22,5,14	40,46,20	175,84,151	200	100	3.43680639503e-12	7.02655067464e-10	0.413,0.565,0.509	0.103,0.215,0.062	0.369
chr21:46354283-46354848|-|46353229|46355011	ENSG00000183250.12_5	LINC01547	chr21	-	46353229	46355011	46353229	46354283	46354848	46355011	chr21:46354283-46354848|-|46353229|46355011	243,1230,355	25,14,31	91,124,99	33,43,33	200	100	0	0.0	0.829,0.978,0.851	0.58,0.59,0.6	0.296
chr1:43914399-43915773|+|43914282|43915842	ENSG00000198198.16_7	SZT2	chr1	+	43914282	43915842	43914282	43914399	43915773	43915842	chr1:43914399-43915773|+|43914282|43915842	160,170,134	101,153,133	95,85,80	120,150,100	200	100	0.000251320729731	0.00473087170068	0.442,0.357,0.335	0.284,0.221,0.286	0.114
chr2:97215542-97215924|+|97215489|97216022	ENSG00000196843.16_3	ARID5A	chr2	+	97215489	97216022	97215489	97215542	97215924	97216022	chr2:97215542-97215924|+|97215489|97216022	47,30,28	59,51,67	1,11,9	23,36,34	200	100	0.000221222853899	0.00426018955852	0.285,0.227,0.173	0.021,0.133,0.117	0.138
chr17:48264283-48264375|-|48264000|48264483	ENSG00000108821.13_3	COL1A1	chr17	-	48264000	48264483	48264000	48264283	48264375	48264483	chr17:48264283-48264375|-|48264000|48264483	31,13,23	136,116,151	51,23,41	833,777,1174	192	100	1.69453340249e-12	3.7119359372e-10	0.106,0.055,0.074	0.031,0.015,0.018	0.057
chr10:75554088-75554298|+|75553904|75554397	ENSG00000214655.10_6	ZSWIM8	chr10	+	75553904	75554397	75553904	75554088	75554298	75554397	chr10:75554088-75554298|+|75553904|75554397	333,307,312	504,525,626	337,288,212	711,955,556	200	100	2.68887065318e-05	0.000768269634376	0.248,0.226,0.199	0.192,0.131,0.16	0.063
chr18:12308348-12308685|+|12308239|12308794	ENSG00000176014.12_3	TUBB6	chr18	+	12308239	12308794	12308239	12308348	12308685	12308794	chr18:12308348-12308685|+|12308239|12308794	95,103,84	457,208,417	145,121,137	1941,1515,1924	200	100	0	0.0	0.094,0.198,0.092	0.036,0.038,0.034	0.092
chr9:35808680-35808751|+|35808505|35808850	ENSG00000159899.14_2	NPR2	chr9	+	35808505	35808850	35808505	35808680	35808751	35808850	chr9:35808680-35808751|+|35808505|35808850	23,50,28	17,21,19	66,70,54	141,144,178	171	100	1.28824284573e-10	1.83044884037e-08	0.442,0.582,0.463	0.215,0.221,0.151	0.3
chr11:1977678-1977771|+|1977485|1977839	ENSG00000214026.11_3	MRPL23	chr11	+	1977485	1977839	1977485	1977678	1977771	1977839	chr11:1977678-1977771|+|1977485|1977839	1806,2276,1809	492,589,497	136,249,574	70,112,222	193	100	9.10011519706e-06	0.000311190321074	0.655,0.667,0.653	0.502,0.535,0.573	0.122
chr1:94016662-94017965|+|94016503|94020216	ENSG00000137942.16_2	FNBP1L	chr1	+	94016503	94020216	94016503	94016662	94017965	94020216	chr1:94016662-94017965|+|94016503|94020216	700,729,842	87,91,126	681,692,527	131,124,123	200	100	0.000484440531706	0.00808154850739	0.801,0.8,0.77	0.722,0.736,0.682	0.077
chr11:61546895-61546969|+|61546300|61547042	ENSG00000124920.13_3	MYRF	chr11	+	61546300	61547042	61546300	61546895	61546969	61547042	chr11:61546895-61546969|+|61546300|61547042	3,10,20	32,74,60	0,1,2	39,53,33	174	100	4.63701719133e-07	2.53561470517e-05	0.051,0.072,0.161	0.0,0.011,0.034	0.08
chr17:73910373-73910827|-|73910202|73911013	ENSG00000188878.19_5	FBF1	chr17	-	73910202	73911013	73910202	73910373	73910827	73911013	chr17:73910373-73910827|-|73910202|73911013	65,39,60	1,0,3	50,33,42	12,7,2	200	100	2.17421287076e-05	0.000647880225561	0.97,1.0,0.909	0.676,0.702,0.913	0.196
chr11:72537634-72538232|+|72537562|72538338	ENSG00000168010.11_4	ATG16L2	chr11	+	72537562	72538338	72537562	72537634	72538232	72538338	chr11:72537634-72538232|+|72537562|72538338	18,18,16	0,0,1	25,17,19	3,2,4	200	100	9.06878079785e-05	0.00205758447683	1.0,1.0,0.889	0.806,0.81,0.704	0.19
chr11:111656818-111657125|-|111652918|111657244	ENSG00000086848.15_5	ALG9	chr11	-	111652918	111657244	111652918	111656818	111657125	111657244	chr11:111656818-111657125|-|111652918|111657244	324,329,295	44,30,30	223,255,340	100,79,61	200	100	1.56234092064e-06	7.18696352756e-05	0.786,0.846,0.831	0.527,0.617,0.736	0.194
chr11:118898582-118898903|-|118898337|118899136	ENSG00000137700.18_8	SLC37A4	chr11	-	118898337	118899136	118898337	118898582	118898903	118899136	chr11:118898582-118898903|-|118898337|118899136	200,202,259	246,402,382	86,92,91	201,255,246	200	100	1.87396872017e-05	0.000569949775793	0.289,0.201,0.253	0.176,0.153,0.156	0.086
chr12:113726039-113726562|+|113725967|113726652	ENSG00000186815.12_5	TPCN1	chr12	+	113725967	113726652	113725967	113726039	113726562	113726652	chr12:113726039-113726562|+|113725967|113726652	152,169,150	201,125,166	94,97,95	189,230,163	200	100	6.17954979076e-06	0.00022516199193	0.274,0.403,0.311	0.199,0.174,0.226	0.13
chr12:113729763-113730738|+|113729678|113730878	ENSG00000186815.12_5	TPCN1	chr12	+	113729678	113730878	113729678	113729763	113730738	113730878	chr12:113729763-113730738|+|113729678|113730878	114,111,96	271,270,297	65,54,46	315,344,265	200	100	8.37627023298e-09	7.66803783194e-07	0.174,0.171,0.139	0.094,0.073,0.08	0.079
chr2:219498484-219498827|+|219498327|219498944	ENSG00000115556.14_5	PLCD4	chr2	+	219498327	219498944	219498327	219498484	219498827	219498944	chr2:219498484-219498827|+|219498327|219498944	236,199,270	6,14,6	548,773,504	741,1158,913	200	100	0	0.0	0.952,0.877,0.957	0.27,0.25,0.216	0.683
chr14:74763152-74764632|-|74763035|74764772	ENSG00000119688.21_6	ABCD4	chr14	-	74763035	74764772	74763035	74763152	74764632	74764772	chr14:74763152-74764632|-|74763035|74764772	54,45,46	74,86,101	80,46,44	177,194,177	200	100	0.000327572891539	0.00588911088497	0.267,0.207,0.185	0.184,0.106,0.111	0.086
chr16:31486078-31487332|+|31485883|31487506	ENSG00000140682.19_5	TGFB1I1	chr16	+	31485883	31487506	31485883	31486078	31487332	31487506	chr16:31486078-31487332|+|31485883|31487506	31,25,29	84,76,85	56,45,54	278,345,322	200	100	3.90949161955e-05	0.00104635055339	0.156,0.141,0.146	0.092,0.061,0.077	0.071
chr15:25300013-25300220|+|25298974|25300377	ENSG00000224078.15_5	SNHG14	chr15	+	25298974	25300377	25298974	25300013	25300220	25300377	chr15:25300013-25300220|+|25298974|25300377	26,10,16	0,0,0	26,23,18	0,6,3	200	100	1.65269333551e-05	0.000516743988446	1.0,1.0,1.0	1.0,0.657,0.75	0.198
chr20:46288196-46288440|-|46288142|46288474	ENSG00000196562.14_5	SULF2	chr20	-	46288142	46288474	46288142	46288196	46288440	46288474	chr20:46288196-46288440|-|46288142|46288474	63,179,114	315,1424,654	133,283,109	2069,5695,2491	200	100	0	0.0	0.091,0.059,0.08	0.031,0.024,0.021	0.051
chr16:630263-630857|+|630182|630972	ENSG00000007541.16_4	PIGQ	chr16	+	630182	630972	630182	630263	630857	630972	chr16:630263-630857|+|630182|630972	59,44,64	122,121,142	44,59,42	169,273,233	200	100	5.90037155412e-06	0.000218011620043	0.195,0.154,0.184	0.115,0.098,0.083	0.079
chr15:74326871-74327512|+|74326818|74328735	ENSG00000140464.19_6	PML	chr15	+	74326818	74328735	74326818	74326871	74327512	74328735	chr15:74326871-74327512|+|74326818|74328735	156,135,153	29,35,55	165,232,163	80,114,105	200	100	5.42226793537e-05	0.00136271873201	0.729,0.659,0.582	0.508,0.504,0.437	0.174
chrX:73218679-73219189|+|73218602|73220331	ENSG00000225470.8_5	JPX	chrX	+	73218602	73220331	73218602	73218679	73219189	73220331	chrX:73218679-73219189|+|73218602|73220331	150,144,171	2,3,0	152,180,175	10,8,3	200	100	0.000478646875736	0.00800649448909	0.974,0.96,1.0	0.884,0.918,0.967	0.055
chr16:4854149-4854522|-|4853203|4855311	ENSG00000140632.17_4	GLYR1	chr16	-	4853203	4855311	4853203	4854149	4854522	4855311	chr16:4854149-4854522|-|4853203|4855311	1161,1172,1167	84,90,99	879,946,944	106,125,122	200	100	2.73613713768e-05	0.000776086902694	0.874,0.867,0.855	0.806,0.791,0.795	0.068
chr17:8347494-8347577|+|8347244|8347675	ENSG00000166579.15_5	NDEL1	chr17	+	8347244	8347675	8347244	8347494	8347577	8347675	chr17:8347494-8347577|+|8347244|8347675	5,17,14	1,1,0	22,23,8	3,3,6	183	100	0.000429858700719	0.00731694266659	0.732,0.903,1.0	0.8,0.807,0.421	0.202
chr9:35684547-35685060|-|35684484|35685136	ENSG00000198467.15_6	TPM2	chr9	-	35684484	35685136	35684484	35684547	35685060	35685136	chr9:35684547-35685060|-|35684484|35685136	45,114,81	33,67,28	95,90,83	78,193,133	200	100	5.43635561301e-05	0.00136375816574	0.405,0.46,0.591	0.378,0.189,0.238	0.217
chr16:58542913-58543057|+|58542865|58543093	ENSG00000103034.14_6	NDRG4	chr16	+	58542865	58543093	58542865	58542913	58543057	58543093	chr16:58542913-58543057|+|58542865|58543093	49,23,43	55,29,72	24,17,9	66,62,48	200	100	4.64926156174e-06	0.000178598616632	0.308,0.284,0.23	0.154,0.121,0.086	0.154
chr8:134488317-134488520|-|134487961|134488843	ENSG00000008513.16_7	ST3GAL1	chr8	-	134487961	134488843	134487961	134488317	134488520	134488843	chr8:134488317-134488520|-|134487961|134488843	344,318,442	362,390,481	680,1017,527	1312,2043,913	200	100	4.18702921223e-08	3.22357451965e-06	0.322,0.29,0.315	0.206,0.199,0.224	0.099
chr12:48142325-48142601|-|48142236|48142714	ENSG00000079337.16_6	RAPGEF3	chr12	-	48142236	48142714	48142236	48142325	48142601	48142714	chr12:48142325-48142601|-|48142236|48142714	48,64,40	62,122,92	20,15,20	66,78,60	200	100	0.000241638401671	0.00457199733671	0.279,0.208,0.179	0.132,0.088,0.143	0.101
chr19:1979092-1979161|+|1978857|1979247	ENSG00000133275.16_2	CSNK1G2	chr19	+	1978857	1979247	1978857	1979092	1979161	1979247	chr19:1979092-1979161|+|1978857|1979247	140,105,195	646,718,762	39,46,68	493,630,561	169	100	8.81635875416e-11	1.29780327405e-08	0.114,0.08,0.132	0.045,0.041,0.067	0.058
chr17:8192732-8193130|+|8192575|8193410	ENSG00000108961.14_3	RANGRF	chr17	+	8192575	8193410	8192575	8192732	8193130	8193410	chr17:8192732-8193130|+|8192575|8193410	360,527,348	40,8,18	380,352,429	50,38,39	200	100	0.000226420115811	0.0043443621908	0.818,0.971,0.906	0.792,0.822,0.846	0.078
chr17:16342728-16342894|+|16342640|16343017	ENSG00000175061.18_4	SNHG29	chr17	+	16342640	16343017	16342640	16342728	16342894	16343017	chr17:16342728-16342894|+|16342640|16343017	7491,8204,7540	3831,5194,3588	1245,1305,1548	808,1075,1122	200	100	0.000337049471488	0.00602709310021	0.494,0.441,0.512	0.435,0.378,0.408	0.075
chr12:53439437-53439744|-|53439383|53439845	ENSG00000257337.7_6	AC068888.1	chr12	-	53439383	53439845	53439383	53439437	53439744	53439845	chr12:53439437-53439744|-|53439383|53439845	10,17,9	86,149,55	1,2,0	36,47,26	200	100	8.42130922435e-05	0.00193937797725	0.055,0.054,0.076	0.014,0.021,0.0	0.05
chr17:79974745-79974816|+|79974675|79974989	ENSG00000169696.16_5	ASPSCR1	chr17	+	79974675	79974989	79974675	79974745	79974816	79974989	chr17:79974745-79974816|+|79974675|79974989	104,111,146	215,273,257	65,62,69	182,197,284	171	100	0.000201305325025	0.00395105987533	0.221,0.192,0.249	0.173,0.155,0.124	0.07
chr18:5239195-5241697|+|5238079|5241888	ENSG00000263753.8_5	LINC00667	chr18	+	5238079	5241888	5238079	5239195	5241697	5241888	chr18:5239195-5241697|+|5238079|5241888	58,51,43	0,1,4	157,148,111	17,38,13	200	100	1.42483835429e-05	0.000457552149007	1.0,0.962,0.843	0.822,0.661,0.81	0.171
