ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
189	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130164835	130165032	130165938	130166082	130162185	130162285	130166237	130166346
190	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130164835	130165032	130166016	130166082	130162185	130162285	130166237	130166346
191	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130165938	130166082	130166237	130166346	130162185	130162285	130167096	130167270
192	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130165938	130166082	130166237	130166346	130164835	130165032	130167096	130167270
193	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130166016	130166082	130166237	130166346	130164835	130165032	130167096	130167270
194	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130166237	130166346	130167096	130167270	130165556	130166082	130167698	130167748
195	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130166237	130166346	130167096	130167270	130165938	130166082	130169390	130170177
196	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130167096	130167270	130167698	130167844	130166237	130166346	130169390	130170177
197	"ENSG00000136856.17_4"	"SLC2A8"	chr9	+	130167096	130167270	130167698	130167844	130166237	130166346	130169714	130169931
198	"ENSG00000136895.19_6"	"GARNL3"	chr9	+	130027230	130027300	130053446	130053521	130005357	130005528	130073914	130074014
199	"ENSG00000136895.19_6"	"GARNL3"	chr9	+	130027230	130027300	130053446	130053521	130005357	130005532	130073914	130074014
200	"ENSG00000136895.19_6"	"GARNL3"	chr9	+	130119497	130119656	130127578	130127645	130117575	130117751	130145716	130145824
201	"ENSG00000136895.19_6"	"GARNL3"	chr9	+	130147305	130147424	130149471	130149610	130145716	130145824	130151182	130151398
202	"ENSG00000136828.19_5"	"RALGPS1"	chr9	+	129728122	129728230	129739973	129740024	129724503	129724625	129778938	129779240
203	"ENSG00000136828.19_5"	"RALGPS1"	chr9	+	129728122	129728230	129739973	129740024	129724503	129724625	129796709	129796793
204	"ENSG00000136828.19_5"	"RALGPS1"	chr9	+	129739973	129740024	129796709	129796793	129728122	129728230	129812321	129812411
205	"ENSG00000136828.19_5"	"RALGPS1"	chr9	+	129739973	129740024	129796709	129796793	129728122	129728230	129815125	129815218
206	"ENSG00000136828.19_5"	"RALGPS1"	chr9	+	129796709	129796793	129812321	129812411	129739973	129740024	129815125	129815218
207	"ENSG00000136828.19_5"	"RALGPS1"	chr9	+	129796709	129796793	129815125	129815218	129739973	129740024	129831508	129831634
208	"ENSG00000196814.15_3"	"MVB12B"	chr9	+	129157853	129157976	129184132	129184227	129154344	129154474	129243647	129243703
209	"ENSG00000119487.17_5"	"MAPKAP1"	chr9	-	128206779	128206877	128230250	128230388	128199671	128201291	128268588	128268696
210	"ENSG00000119487.17_5"	"MAPKAP1"	chr9	-	128230250	128230388	128268588	128268696	128206779	128206877	128305337	128305447
212	"ENSG00000119487.17_5"	"MAPKAP1"	chr9	-	128246721	128246862	128305337	128305447	128230250	128230388	128321911	128322088
213	"ENSG00000119487.17_5"	"MAPKAP1"	chr9	-	128305337	128305447	128321911	128322088	128246721	128246862	128347833	128348006
214	"ENSG00000119487.17_5"	"MAPKAP1"	chr9	-	128321911	128322088	128347833	128348006	128305337	128305447	128419929	128420078
215	"ENSG00000119487.17_5"	"MAPKAP1"	chr9	-	128347833	128348006	128419929	128420078	128321911	128322088	128469249	128469456
217	"ENSG00000107338.10_4"	"SHB"	chr9	-	37948631	37948751	37955879	37956051	37915894	37920001	37974618	37974834
218	"ENSG00000107338.10_4"	"SHB"	chr9	-	37955879	37956051	37974618	37974834	37948631	37948751	38016007	38016128
219	"ENSG00000107338.10_4"	"SHB"	chr9	-	37974618	37974834	38016007	38016128	37955879	37956051	38067925	38069224
220	"ENSG00000119408.16_3"	"NEK6"	chr9	+	127055127	127055292	127064214	127064333	127048718	127048769	127074787	127074928
221	"ENSG00000119408.16_3"	"NEK6"	chr9	+	127064214	127064333	127074787	127074928	127020248	127020364	127076201	127076264
222	"ENSG00000119408.16_3"	"NEK6"	chr9	+	127064214	127064333	127074787	127074928	127055127	127055292	127076201	127076264
223	"ENSG00000119408.16_3"	"NEK6"	chr9	+	127089616	127089724	127101849	127101944	127088608	127088717	127109987	127110076
224	"ENSG00000218739.10_4"	"CEBPZOS"	chr2	+	37426846	37426962	37428190	37428235	37423630	37423663	37428784	37428869
225	"ENSG00000218739.10_4"	"CEBPZOS"	chr2	+	37428190	37428235	37428784	37428869	37426846	37426962	37429005	37429835
226	"ENSG00000218739.10_4"	"CEBPZOS"	chr2	+	37428190	37428235	37428784	37428869	37426846	37426962	37431446	37431882
227	"ENSG00000152683.14_4"	"SLC30A6"	chr2	+	32396355	32396442	32399131	32399216	32390909	32390972	32400387	32400430
228	"ENSG00000152683.14_4"	"SLC30A6"	chr2	+	32396355	32396442	32418957	32419052	32390909	32390972	32422412	32422461
229	"ENSG00000152683.14_4"	"SLC30A6"	chr2	+	32396355	32396442	32399131	32399216	32390932	32390972	32417404	32417485
230	"ENSG00000152683.14_4"	"SLC30A6"	chr2	+	32399131	32399216	32400387	32400430	32396355	32396442	32402545	32402665
231	"ENSG00000152683.14_4"	"SLC30A6"	chr2	+	32399131	32399216	32400387	32400430	32396355	32396442	32409341	32409407
232	"ENSG00000152683.14_4"	"SLC30A6"	chr2	+	32399131	32399216	32402545	32402665	32396355	32396442	32409341	32409407
