ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
77	"ENSG00000012048.22_5"	"BRCA1"	chr17	-	41277287	41277387	41277293	41277387	41267742	41267796
79	"ENSG00000149527.18_5"	"PLCH2"	chr1	+	2433550	2434349	2433550	2433848	2435360	2436971
82	"ENSG00000173486.13_3"	"FKBP2"	chr11	+	64010670	64010969	64010670	64010783	64011312	64011348
87	"ENSG00000101365.21_4"	"IDH3B"	chr20	-	2640344	2640822	2640675	2640822	2640170	2640231
88	"ENSG00000101365.21_4"	"IDH3B"	chr20	-	2640344	2640822	2640713	2640822	2640170	2640231
89	"ENSG00000101365.21_4"	"IDH3B"	chr20	-	2640675	2640822	2640713	2640822	2640170	2640231
90	"ENSG00000101365.21_4"	"IDH3B"	chr20	-	2641102	2641475	2641342	2641475	2640170	2640231
92	"ENSG00000101365.21_4"	"IDH3B"	chr20	-	2641102	2641475	2641342	2641475	2640908	2641011
93	"ENSG00000115207.13_4"	"GTF3C2"	chr2	-	27551271	27551463	27551334	27551463	27550903	27551056
96	"ENSG00000243708.10_3"	"PLA2G4B"	chr15	+	42133428	42134147	42133428	42133471	42134390	42134474
97	"ENSG00000243708.10_3"	"PLA2G4B"	chr15	+	42134390	42135421	42134390	42134474	42135873	42136009
100	"ENSG00000110344.9_3"	"UBE4A"	chr11	+	118243221	118243402	118243221	118243381	118247288	118247409
109	"ENSG00000156345.17_2"	"CDK20"	chr9	-	90585482	90585812	90585690	90585812	90584108	90584264
112	"ENSG00000185842.15_4"	"DNAH14"	chr1	+	225155132	225155285	225155132	225155216	225161792	225161855
122	"ENSG00000177666.17_4"	"PNPLA2"	chr11	+	823693	824130	823693	823855	824313	824436
124	"ENSG00000166546.14_6"	"BEAN1"	chr16	+	66471497	66471920	66471497	66471604	66503504	66503768
126	"ENSG00000116691.11_3"	"MIIP"	chr1	+	12089279	12089951	12089279	12089338	12090084	12090181
127	"ENSG00000116691.11_3"	"MIIP"	chr1	+	12089279	12090181	12089279	12089951	12091322	12091460
132	"ENSG00000135253.13_4"	"KCP"	chr7	-	128518611	128519677	128519575	128519677	128514577	128514664
135	"ENSG00000127948.16_5"	"POR"	chr7	+	75597162	75597595	75597162	75597446	75600304	75600410
138	"ENSG00000169733.12_4"	"RFNG"	chr17	-	80008537	80009218	80009169	80009218	80007552	80008431
143	"ENSG00000107185.9_2"	"RGP1"	chr9	+	35750654	35750986	35750654	35750738	35751262	35751409
155	"ENSG00000111077.17_2"	"TNS2"	chr12	+	53452830	53453755	53452830	53453751	53454188	53454339
157	"ENSG00000111077.17_2"	"TNS2"	chr12	+	53452830	53454042	53452830	53453755	53454188	53454339
164	"ENSG00000204842.16_7"	"ATXN2"	chr12	-	111923068	111923135	111923074	111923135	111920590	111920635
174	"ENSG00000172262.11_4"	"ZNF131"	chr5	+	43123310	43123412	43123310	43123352	43139266	43139411
175	"ENSG00000172262.11_4"	"ZNF131"	chr5	+	43123310	43123412	43123310	43123352	43161350	43162033
177	"ENSG00000124228.14_6"	"DDX27"	chr20	+	47850104	47852768	47850104	47850246	47852869	47853047
183	"ENSG00000145349.17_6"	"CAMK2D"	chr4	-	114378446	114378719	114378490	114378719	114376910	114376977
185	"ENSG00000117480.16_3"	"FAAH"	chr1	+	46871259	46871750	46871259	46871466	46871915	46872040
190	"ENSG00000070476.15_3"	"ZXDC"	chr3	-	126180112	126181063	126180377	126181063	126158474	126158570
191	"ENSG00000070476.15_3"	"ZXDC"	chr3	-	126180112	126181063	126180377	126181063	126178495	126178580
193	"ENSG00000119559.16_6"	"C19orf25"	chr19	-	1478652	1478904	1478772	1478904	1461141	1461823
195	"ENSG00000179632.10_3"	"MAF1"	chr8	+	145161245	145161577	145161245	145161367	145161737	145161866
197	"ENSG00000104529.17_7"	"EEF1D"	chr8	-	144674816	144675112	144674884	144675112	144668898	144669019
199	"ENSG00000104529.17_7"	"EEF1D"	chr8	-	144676044	144676241	144676062	144676241	144668898	144669022
200	"ENSG00000104529.17_7"	"EEF1D"	chr8	-	144676044	144676241	144676062	144676241	144672814	144672908
201	"ENSG00000104529.17_7"	"EEF1D"	chr8	-	144676044	144676241	144676062	144676241	144674816	144674830
202	"ENSG00000104529.17_7"	"EEF1D"	chr8	-	144676044	144676241	144676062	144676241	144674884	144675112
203	"ENSG00000104518.11_5"	"GSDMD"	chr8	+	144643171	144643593	144643171	144643274	144643911	144643998
208	"ENSG00000138050.15_3"	"THUMPD2"	chr2	-	39998644	39998780	39998654	39998780	39988470	39988558
210	"ENSG00000138050.15_3"	"THUMPD2"	chr2	-	39998644	39998780	39998654	39998780	39995563	39995641
213	"ENSG00000129295.9_4"	"LRRC6"	chr8	-	133687563	133687805	133687729	133687805	133650180	133650353
214	"ENSG00000129295.9_4"	"LRRC6"	chr8	-	133687563	133687805	133687729	133687805	133673705	133673873
215	"ENSG00000153310.19_5"	"FAM49B"	chr8	-	130861488	130864524	130864407	130864524	130859049	130859120
217	"ENSG00000153310.19_5"	"FAM49B"	chr8	-	130908917	130909100	130908994	130909100	130892621	130892704
223	"ENSG00000156795.7_5"	"WDYHV1"	chr8	+	124453545	124453737	124453545	124453589	124479318	124482268
229	"ENSG00000198034.11_3"	"RPS4X"	chrX	-	71493650	71495000	71494902	71495000	71493081	71493239
232	"ENSG00000070756.16_5"	"PABPC1"	chr8	-	101716507	101716618	101716524	101716618	101698043	101698522
234	"ENSG00000070756.16_5"	"PABPC1"	chr8	-	101727689	101727829	101727698	101727829	101724879	101725017
236	"ENSG00000070756.16_5"	"PABPC1"	chr8	-	101730000	101730508	101730314	101730508	101727689	101727829
244	"ENSG00000156482.11_3"	"RPL30"	chr8	-	99057054	99057316	99057170	99057316	99054872	99054946
249	"ENSG00000169439.12_4"	"SDC2"	chr8	+	97506040	97506559	97506040	97506271	97541420	97541499
250	"ENSG00000156170.13_4"	"NDUFAF6"	chr8	+	96044222	96044326	96044222	96044322	96046235	96046350
252	"ENSG00000156170.13_4"	"NDUFAF6"	chr8	+	96044222	96044326	96044222	96044322	96053797	96053854
256	"ENSG00000089356.18_5"	"FXYD3"	chr19	+	35613668	35613858	35613668	35613743	35614174	35614212
257	"ENSG00000104327.7_4"	"CALB1"	chr8	-	91072856	91075381	91075327	91075381	91070835	91072514
259	"ENSG00000253553.7_7"	"AC090578.1"	chr8	+	89341157	89341326	89341157	89341225	89554908	89555039
260	"ENSG00000253553.7_7"	"AC090578.1"	chr8	+	89341157	89341326	89341157	89341281	89554908	89555039
262	"ENSG00000167522.16_7"	"ANKRD11"	chr16	-	89357032	89357591	89357420	89357591	89354935	89355078
268	"ENSG00000139625.13_4"	"MAP3K12"	chr12	-	53878040	53878998	53878839	53878998	53877694	53877804
269	"ENSG00000104231.11_6"	"ZFAND1"	chr8	-	82626152	82627130	82627038	82627130	82615203	82615359
270	"ENSG00000104231.11_6"	"ZFAND1"	chr8	-	82626833	82627130	82627038	82627130	82626185	82626274
276	"ENSG00000255036.6_8"	"STRA6LP"	chr9	+	100109595	100109948	100109595	100109771	100111392	100111573
277	"ENSG00000175606.11_4"	"TMEM70"	chr8	+	74890990	74891110	74890990	74891096	74891313	74891406
281	"ENSG00000071553.17_5"	"ATP6AP1"	chrX	+	153657393	153657749	153657393	153657520	153659865	153659946
285	"ENSG00000105618.14_4"	"PRPF31"	chr19	+	54631447	54631752	54631447	54631575	54632431	54632745
286	"ENSG00000168300.14_4"	"PCMTD1"	chr8	-	52773404	52773806	52773420	52773806	52758220	52758323
289	"ENSG00000108846.16_3"	"ABCC3"	chr17	+	48735795	48735907	48735795	48735857	48736542	48736729
293	"ENSG00000185803.10_6"	"SLC52A2"	chr8	+	145582252	145582560	145582252	145582443	145582847	145583083
294	"ENSG00000185803.10_6"	"SLC52A2"	chr8	+	145583282	145584153	145583282	145583407	145584462	145584932
297	"ENSG00000170791.17_4"	"CHCHD7"	chr8	+	57124347	57127226	57124347	57124396	57128947	57129090
314	"ENSG00000120925.16_4"	"RNF170"	chr8	-	42742870	42743014	42742991	42743014	42725146	42725255
318	"ENSG00000104365.15_4"	"IKBKB"	chr8	+	42186641	42186732	42186641	42186705	42188431	42190171
322	"ENSG00000284770.2_3"	"TBCE"	chr1	+	235577747	235577933	235577747	235577784	235582731	235582876
325	"ENSG00000284770.2_3"	"TBCE"	chr1	+	235577747	235577933	235577747	235577784	235597518	235597595
336	"ENSG00000141527.18_6"	"CARD14"	chr17	+	78162175	78163671	78162175	78162343	78164572	78164698
338	"ENSG00000141527.18_6"	"CARD14"	chr17	+	78178025	78178150	78178025	78178140	78178816	78179004
344	"ENSG00000120889.13_3"	"TNFRSF10B"	chr8	-	22885843	22886115	22886041	22886115	22884645	22884801
345	"ENSG00000120889.13_3"	"TNFRSF10B"	chr8	-	22885843	22886115	22886041	22886115	22885234	22885266
350	"ENSG00000092199.17_7"	"HNRNPC"	chr14	-	21699116	21699231	21699155	21699231	21681118	21681276
352	"ENSG00000092199.17_7"	"HNRNPC"	chr14	-	21702111	21702388	21702236	21702388	21699155	21699231
353	"ENSG00000143621.17_3"	"ILF2"	chr1	-	153635494	153635752	153635690	153635752	153635180	153635271
356	"ENSG00000164062.13_4"	"APEH"	chr3	+	49717025	49717077	49717025	49717049	49717982	49718062
377	"ENSG00000173992.9_4"	"CCS"	chr11	+	66366586	66367107	66366586	66366724	66367959	66368020
390	"ENSG00000215374.6_5"	"FAM66B"	chr8	-	7206494	7206668	7206604	7206668	7182658	7182937
391	"ENSG00000101187.16_3"	"SLCO4A1"	chr20	+	61299096	61299893	61299096	61299262	61300281	61300430
395	"ENSG00000223546.7_7"	"LINC00630"	chrX	+	102081896	102082072	102081896	102082064	102089555	102090273
396	"ENSG00000223546.7_7"	"LINC00630"	chrX	+	102094728	102094900	102094728	102094791	102098256	102098335
397	"ENSG00000104714.14_5"	"ERICH1"	chr8	-	575674	577238	577002	577238	564745	565284
398	"ENSG00000143486.16_6"	"EIF2D"	chr1	-	206781588	206781679	206781632	206781679	206773616	206773662
400	"ENSG00000181135.16_7"	"ZNF707"	chr8	+	144773242	144773402	144773242	144773369	144773766	144773883
402	"ENSG00000181135.16_7"	"ZNF707"	chr8	+	144773242	144773402	144773242	144773369	144773779	144773883
417	"ENSG00000197024.8_2"	"ZNF398"	chr7	+	148851036	148851432	148851036	148851409	148863908	148864022
426	"ENSG00000006530.18_5"	"AGK"	chr7	+	141315270	141315369	141315270	141315365	141315962	141316168
427	"ENSG00000006530.18_5"	"AGK"	chr7	+	141315270	141315369	141315270	141315365	141321531	141321601
428	"ENSG00000006530.18_5"	"AGK"	chr7	+	141323979	141325083	141323979	141324096	141333700	141333780
430	"ENSG00000178971.16_6"	"CTC1"	chr17	-	8133611	8133786	8133764	8133786	8133208	8133286
432	"ENSG00000178971.16_6"	"CTC1"	chr17	-	8139375	8139660	8139400	8139660	8138370	8138603
434	"ENSG00000145907.15_4"	"G3BP1"	chr5	+	151173719	151173810	151173719	151173783	151175039	151175136
442	"ENSG00000128596.17_6"	"CCDC136"	chr7	+	128446290	128446912	128446290	128446449	128447413	128447599
444	"ENSG00000106348.18_7"	"IMPDH1"	chr7	-	128049342	128049538	128049494	128049538	128045820	128045919
456	"ENSG00000197114.11_4"	"ZGPAT"	chr20	+	62364938	62365091	62364938	62365064	62365996	62366176
457	"ENSG00000197114.11_4"	"ZGPAT"	chr20	+	62364938	62365127	62364938	62365064	62365996	62366176
460	"ENSG00000197114.11_4"	"ZGPAT"	chr20	+	62364938	62365127	62364938	62365091	62366056	62366537
461	"ENSG00000197114.11_4"	"ZGPAT"	chr20	+	62364938	62365091	62364938	62365064	62366510	62366916
462	"ENSG00000197114.11_4"	"ZGPAT"	chr20	+	62364938	62366176	62364938	62365064	62366510	62366916
463	"ENSG00000197114.11_4"	"ZGPAT"	chr20	+	62364938	62366176	62364938	62365091	62366510	62366916
469	"ENSG00000129347.20_3"	"KRI1"	chr19	-	10668227	10668571	10668444	10668571	10665960	10666025
470	"ENSG00000129347.20_3"	"KRI1"	chr19	-	10675604	10676466	10676392	10676466	10673404	10673513
471	"ENSG00000074527.12_3"	"NTN4"	chr12	-	96184032	96184542	96184505	96184542	96180716	96181246
472	"ENSG00000091127.14_3"	"PUS7"	chr7	-	105111134	105111295	105111207	105111295	105105759	105105861
481	"ENSG00000178719.17_4"	"GRINA"	chr8	+	145066045	145066246	145066045	145066117	145066632	145066776
482	"ENSG00000178719.17_4"	"GRINA"	chr8	+	145066045	145066541	145066045	145066117	145066632	145066776
483	"ENSG00000178719.17_4"	"GRINA"	chr8	+	145066045	145066541	145066045	145066246	145066632	145066776
484	"ENSG00000130635.15_5"	"COL5A1"	chr9	+	137721821	137722022	137721821	137721890	137724587	137724722
487	"ENSG00000196411.10_3"	"EPHB4"	chr7	-	100414813	100414979	100414883	100414979	100411273	100411338
489	"ENSG00000067829.19_4"	"IDH3G"	chrX	-	153056250	153056306	153056264	153056306	153055649	153055747
492	"ENSG00000106245.11_3"	"BUD31"	chr7	+	99006591	99006868	99006591	99006627	99008686	99008809
497	"ENSG00000105854.13_6"	"PON2"	chr7	-	95045483	95045609	95045553	95045609	95041623	95041773
505	"ENSG00000006634.8_3"	"DBF4"	chr7	+	87507367	87507540	87507367	87507448	87516158	87516209
506	"ENSG00000006634.8_3"	"DBF4"	chr7	+	87507367	87507540	87507367	87507448	87525788	87525825
507	"ENSG00000137309.19_2"	"HMGA1"	chr6	+	34204649	34205094	34204649	34204740	34210488	34210572
509	"ENSG00000137309.19_2"	"HMGA1"	chr6	+	34208513	34208692	34208513	34208659	34211244	34211295
512	"ENSG00000106327.13_3"	"TFR2"	chr7	-	100224886	100225284	100225199	100225284	100224385	100224526
513	"ENSG00000186088.16_4"	"GSAP"	chr7	-	76958649	76959684	76959498	76959684	76955528	76955590
514	"ENSG00000186088.16_4"	"GSAP"	chr7	-	76959498	76959684	76959555	76959684	76958649	76958708
518	"ENSG00000159069.14_4"	"FBXW5"	chr9	-	139836497	139837147	139836998	139837147	139835988	139836136
519	"ENSG00000159069.14_4"	"FBXW5"	chr9	-	139836998	139837395	139837220	139837395	139835988	139836136
530	"ENSG00000034677.13_4"	"RNF19A"	chr8	-	101299728	101300495	101300434	101300495	101287180	101287389
533	"ENSG00000179406.8_5"	"LINC00174"	chr7	-	65855068	65855237	65855090	65855237	65847688	65847899
538	"ENSG00000070087.14_4"	"PFN2"	chr3	-	149686144	149686337	149686189	149686337	149683966	149684051
539	"ENSG00000196204.11_2"	"RNF216P1"	chr7	+	5024540	5024761	5024540	5024706	5028664	5028808
542	"ENSG00000172432.19_5"	"GTPBP2"	chr6	-	43589458	43589527	43589497	43589527	43588226	43589253
545	"ENSG00000164934.14_5"	"DCAF13"	chr8	+	104439324	104442917	104439324	104439480	104444886	104444969
550	"ENSG00000109736.15_4"	"MFSD10"	chr4	-	2933551	2933880	2933771	2933880	2932953	2933001
551	"ENSG00000109736.15_4"	"MFSD10"	chr4	-	2933551	2933880	2933771	2933880	2933101	2933192
552	"ENSG00000109736.15_4"	"MFSD10"	chr4	-	2934326	2934936	2934832	2934936	2934077	2934239
554	"ENSG00000205628.4_6"	"LINC01446"	chr7	-	53879200	53879635	53879352	53879635	53847849	53847923
558	"ENSG00000175193.13_6"	"PARL"	chr3	-	183580484	183580589	183580540	183580589	183560085	183560235
563	"ENSG00000169398.19_6"	"PTK2"	chr8	-	141935660	141935848	141935759	141935848	141774332	141774389
564	"ENSG00000169398.19_6"	"PTK2"	chr8	-	141935660	141935848	141935759	141935848	141813641	141813749
565	"ENSG00000169398.19_6"	"PTK2"	chr8	-	141935660	141935848	141935759	141935848	141874410	141874498
566	"ENSG00000169398.19_6"	"PTK2"	chr8	-	141935660	141935848	141935759	141935848	141900641	141900702
567	"ENSG00000169398.19_6"	"PTK2"	chr8	-	141935660	141935848	141935759	141935848	141900641	141900868
568	"ENSG00000169398.19_6"	"PTK2"	chr8	-	141993940	141994254	141994176	141994254	141935787	141935848
569	"ENSG00000166881.10_6"	"NEMP1"	chr12	-	57464456	57464676	57464602	57464676	57458428	57458522
574	"ENSG00000106628.10_4"	"POLD2"	chr7	-	44157182	44157341	44157217	44157341	44156028	44156109
575	"ENSG00000106628.10_4"	"POLD2"	chr7	-	44157182	44157341	44157217	44157341	44156535	44156614
580	"ENSG00000079974.17_3"	"RABL2B"	chr22	-	51221196	51221473	51221318	51221473	51220615	51220779
582	"ENSG00000079974.17_3"	"RABL2B"	chr22	-	51221466	51221714	51221472	51221714	51220661	51220775
588	"ENSG00000232931.6_6"	"LINC00342"	chr2	-	96479557	96479705	96479656	96479705	96479063	96479284
590	"ENSG00000012171.19_4"	"SEMA3B"	chr3	+	50310965	50311259	50310965	50311077	50311343	50311488
591	"ENSG00000012171.19_4"	"SEMA3B"	chr3	+	50312273	50312890	50312273	50312365	50312990	50313046
593	"ENSG00000075415.12_6"	"SLC25A3"	chr12	+	98987752	98989626	98987752	98987913	98991633	98991813
598	"ENSG00000150455.13_3"	"TIRAP"	chr11	+	126159559	126159728	126159559	126159712	126160697	126160856
603	"ENSG00000106052.13_4"	"TAX1BP1"	chr7	+	27855967	27856139	27855967	27856013	27867356	27867439
604	"ENSG00000204120.14_6"	"GIGYF2"	chr2	+	233595831	233595968	233595831	233595944	233599126	233599196
606	"ENSG00000204120.14_6"	"GIGYF2"	chr2	+	233655407	233655625	233655407	233655456	233655717	233655880
613	"ENSG00000105877.18_4"	"DNAH11"	chr7	+	21934240	21934617	21934240	21934423	21938953	21939066
614	"ENSG00000047579.19_3"	"DTNBP1"	chr6	-	15524756	15524900	15524770	15524900	15523285	15523450
616	"ENSG00000166169.17_5"	"POLL"	chr10	-	103344358	103344676	103344634	103344676	103340004	103340173
617	"ENSG00000166169.17_5"	"POLL"	chr10	-	103344358	103344676	103344634	103344676	103342519	103342648
624	"ENSG00000104522.16_4"	"TSTA3"	chr8	-	144695693	144695987	144695920	144695987	144695365	144695465
625	"ENSG00000104522.16_4"	"TSTA3"	chr8	-	144696489	144696867	144696793	144696867	144696333	144696398
626	"ENSG00000182095.14_4"	"TNRC18"	chr7	-	5354610	5354779	5354614	5354779	5352133	5353490
627	"ENSG00000182095.14_4"	"TNRC18"	chr7	-	5354610	5354779	5354614	5354779	5352741	5353494
630	"ENSG00000076604.15_4"	"TRAF4"	chr17	+	27074860	27075196	27074860	27074965	27075279	27075441
635	"ENSG00000102901.13_4"	"CENPT"	chr16	-	67863667	67864451	67864292	67864451	67863325	67863419
636	"ENSG00000102901.13_4"	"CENPT"	chr16	-	67863667	67865261	67865118	67865261	67863325	67863419
637	"ENSG00000102901.13_4"	"CENPT"	chr16	-	67863824	67864451	67864292	67864451	67863325	67863419
638	"ENSG00000102901.13_4"	"CENPT"	chr16	-	67865656	67865793	67865743	67865793	67865118	67865261
640	"ENSG00000164828.18_7"	"SUN1"	chr7	+	892245	892589	892245	892304	893045	893255
647	"ENSG00000183317.17_5"	"EPHA10"	chr1	-	38185085	38185279	38185179	38185279	38184624	38184725
652	"ENSG00000164674.15_3"	"SYTL3"	chr6	+	159083781	159084410	159083781	159083844	159086426	159086645
656	"ENSG00000213079.9_4"	"SCAF8"	chr6	+	155054511	155054684	155054511	155054637	155054980	155055064
657	"ENSG00000249593.6_6"	"AC011405.1"	chr5	+	138348338	138348475	138348338	138348425	138357519	138358297
658	"ENSG00000249593.6_6"	"AC011405.1"	chr5	+	138348338	138348475	138348338	138348425	138368582	138368620
659	"ENSG00000249593.6_6"	"AC011405.1"	chr5	+	138348338	138348475	138348338	138348425	138370085	138370131
662	"ENSG00000164520.11_3"	"RAET1E"	chr6	-	150211952	150212170	150211956	150212170	150211020	150211177
663	"ENSG00000055208.19_5"	"TAB2"	chr6	+	149691044	149691235	149691044	149691211	149693518	149693540
665	"ENSG00000150394.14_4"	"CDH8"	chr16	-	61687785	61688005	61687822	61688005	61681145	61681792
666	"ENSG00000233452.7_7"	"STXBP5-AS1"	chr6	-	147185519	147185738	147185605	147185738	147182941	147183155
679	"ENSG00000062822.14_5"	"POLD1"	chr19	+	50918980	50919785	50918980	50919083	50919866	50919980
689	"ENSG00000092098.17_5"	"RNF31"	chr14	+	24617466	24617686	24617466	24617622	24618009	24618085
705	"ENSG00000071889.16_4"	"FAM3A"	chrX	-	153744083	153744566	153744233	153744566	153741146	153741260
708	"ENSG00000112282.18_4"	"MED23"	chr6	-	131913527	131914311	131914145	131914311	131912452	131912667
709	"ENSG00000079819.19_6"	"EPB41L2"	chr6	-	131190702	131191266	131190951	131191266	131186675	131186774
719	"ENSG00000231999.7_6"	"LRRC8C-DT"	chr1	-	90097574	90097768	90097578	90097768	90090408	90090764
725	"ENSG00000138592.14_6"	"USP8"	chr15	+	50716578	50716851	50716578	50716711	50733545	50733690
736	"ENSG00000189410.12_6"	"SH2D5"	chr1	-	21053961	21054096	21054015	21054096	21052412	21052559
737	"ENSG00000189410.12_6"	"SH2D5"	chr1	-	21053961	21054096	21054015	21054096	21053524	21053568
742	"ENSG00000139160.13_6"	"ETFBKMT"	chr12	+	31812621	31813003	31812621	31812723	31814774	31815201
745	"ENSG00000182979.18_7"	"MTA1"	chr14	+	105916394	105916661	105916394	105916521	105920529	105920647
759	"ENSG00000135338.14_4"	"LCA5"	chr6	-	80246832	80247147	80246881	80247147	80228421	80228802
760	"ENSG00000135338.14_4"	"LCA5"	chr6	-	80246832	80247147	80246881	80247147	80234880	80234986
762	"ENSG00000150093.19_4"	"ITGB1"	chr10	-	33200375	33200598	33200454	33200598	33197295	33197462
770	"ENSG00000256193.6_5"	"LINC00507"	chr12	+	128429262	128429344	128429262	128429332	128432016	128432744
776	"ENSG00000102854.16_4"	"MSLN"	chr16	+	815109	815303	815109	815223	815690	815790
785	"ENSG00000148356.13_3"	"LRSAM1"	chr9	+	130248014	130248119	130248014	130248114	130249773	130249839
787	"ENSG00000148356.13_3"	"LRSAM1"	chr9	+	130248014	130248119	130248014	130248114	130251722	130251797
790	"ENSG00000125656.10_6"	"CLPP"	chr19	+	6361879	6362553	6361879	6361951	6364462	6364650
793	"ENSG00000096093.16_4"	"EFHC1"	chr6	+	52288743	52288965	52288743	52288879	52302359	52302476
797	"ENSG00000153292.16_5"	"ADGRF1"	chr6	-	46979742	46982580	46982416	46982580	46974989	46975031
798	"ENSG00000153292.16_5"	"ADGRF1"	chr6	-	46979742	46982580	46982416	46982580	46976680	46978054
799	"ENSG00000104907.12_4"	"TRMT1"	chr19	-	13216080	13216420	13216300	13216420	13215720	13215895
800	"ENSG00000104907.12_4"	"TRMT1"	chr19	-	13223709	13223825	13223722	13223825	13220971	13221120
803	"ENSG00000104907.12_4"	"TRMT1"	chr19	-	13226810	13227245	13226959	13227245	13226439	13226582
804	"ENSG00000104907.12_4"	"TRMT1"	chr19	-	13226810	13227245	13227000	13227245	13226439	13226582
805	"ENSG00000104907.12_4"	"TRMT1"	chr19	-	13226919	13227245	13226959	13227245	13226439	13226582
806	"ENSG00000104907.12_4"	"TRMT1"	chr19	-	13226919	13227245	13227000	13227245	13226439	13226582
807	"ENSG00000104907.12_4"	"TRMT1"	chr19	-	13226959	13227154	13227000	13227154	13226439	13226582
814	"ENSG00000135912.11_6"	"TTLL4"	chr2	+	219617485	219617696	219617485	219617570	219618306	219618392
815	"ENSG00000112759.18_4"	"SLC29A1"	chr6	+	44197643	44198218	44197643	44197783	44198304	44198402
819	"ENSG00000112651.12_3"	"MRPL2"	chr6	-	43023634	43023934	43023818	43023934	43023282	43023356
821	"ENSG00000124496.12_3"	"TRERF1"	chr6	-	42330684	42330817	42330734	42330817	42235891	42237586
824	"ENSG00000161202.20_5"	"DVL3"	chr3	+	183882583	183882994	183882583	183882719	183883209	183883279
827	"ENSG00000148680.16_4"	"HTR7"	chr10	-	92508590	92509351	92508595	92509351	92503349	92503447
828	"ENSG00000213930.11_5"	"GALT"	chr9	+	34647085	34647564	34647085	34647255	34647653	34647958
829	"ENSG00000213930.11_5"	"GALT"	chr9	+	34647488	34647702	34647488	34647564	34647828	34647958
831	"ENSG00000213930.11_5"	"GALT"	chr9	+	34647488	34647958	34647488	34647702	34648111	34648168
832	"ENSG00000213930.11_5"	"GALT"	chr9	+	34647085	34647958	34647085	34647255	34648330	34648453
834	"ENSG00000165233.18_3"	"CARD19"	chr9	+	95869955	95870109	95869955	95870098	95871272	95871374
836	"ENSG00000165233.18_3"	"CARD19"	chr9	+	95869955	95870109	95869955	95870098	95874160	95874220
837	"ENSG00000165233.18_3"	"CARD19"	chr9	+	95869955	95870109	95869955	95870098	95874499	95874571
839	"ENSG00000115307.17_3"	"AUP1"	chr2	-	74755877	74756409	74756258	74756409	74755066	74755133
840	"ENSG00000115307.17_3"	"AUP1"	chr2	-	74755877	74756409	74756258	74756409	74755543	74755616
842	"ENSG00000198755.11_3"	"RPL10A"	chr6	+	35436196	35436650	35436196	35436216	35437157	35437306
843	"ENSG00000198755.11_3"	"RPL10A"	chr6	+	35436575	35436804	35436575	35436650	35437157	35437306
845	"ENSG00000198755.11_3"	"RPL10A"	chr6	+	35436723	35437306	35436723	35436804	35437955	35438128
846	"ENSG00000112514.16_4"	"CUTA"	chr6	-	33384873	33385087	33385027	33385087	33384696	33384746
849	"ENSG00000223501.9_3"	"VPS52"	chr6	-	33235641	33235774	33235647	33235774	33235458	33235516
